sample_id,split,region,root_abs,power_abs,dI_dV_rel,dI_dIL_rel,dI_dI0_rel,dI_da_rel,dI_dRs_rel,dI_dRsh_rel,residual,exp_argument,status
pvext_0001637,cal,open_circuit,1.5664552988070568e-15,5.9618976422370906e-14,3.5316788519290402e-16,0,1.4833751394893091e-16,4.293820711208797e-16,1.4875672890184878e-13,1.1601256485358398e-16,8.3266726846886741e-16,19.779646049088008,0
pvext_0001646,cal,mpp_near,0,5.6843418860808015e-14,1.7150896009883813e-15,1.1720255132655081e-16,1.9240711564775423e-15,2.0917372584607971e-15,1.7250927332969565e-15,1.6557398122581926e-16,1.3322676295501878e-15,22.473457263196188,0
pvext_0001647,cal,interior,4.4408920985006262e-16,0,1.2895265620493659e-16,1.1104829431032079e-16,1.6638044747545908e-16,2.7106504847715401e-16,1.3254328496334657e-16,1.3916252570849471e-16,3.6429192995512949e-16,7.221038468597806,0
pvext_0001656,cal,short_circuit,1.7763568394002505e-15,0,0,0,1.9079898917263161e-16,1.159173826624125e-16,0,2.288137668844529e-16,9.4889374135931348e-16,2.9772814575638318,0
pvext_0001657,cal,open_circuit,1.4321877017664519e-14,3.5527136788005009e-13,1.3717226152624874e-15,4.4822039896999718e-16,1.3788333311809338e-15,1.0942789106672687e-15,1.5633058815920185e-14,3.8562134606842202e-16,1.3600232051658168e-15,20.076172591843367,0
pvext_0001666,cal,mpp_near,0,0,1.8146715962275087e-15,0,1.8814695671295871e-15,1.7623567773096389e-15,1.6536763082094687e-15,3.119893578479507e-16,3.9551695252271202e-16,19.783365463792574,0
pvext_0001667,cal,interior,4.4408920985006262e-16,0,5.8110609231698763e-16,0,7.822944334945574e-16,1.0165234747405343e-15,3.7456425322269341e-16,1.4157543886659266e-16,4.0592529337857286e-16,11.911522323989431,0
pvext_0001676,cal,short_circuit,1.7763568394002505e-15,6.7762635780344027e-21,1.4387443887219941e-16,0,8.329673022817778e-16,1.0958386422617574e-15,1.2840210353827737e-16,1.2826971360607454e-16,1.1553258350005535e-15,3.5606981277246836,0
pvext_0001677,cal,open_circuit,3.2057689836051395e-15,9.7144514654701197e-14,9.7727801403867708e-16,8.8713741583401918e-16,9.5107348676221651e-16,1.0678343579071418e-15,1.6798662182494931e-13,7.8764146450521791e-16,1.124100812432971e-14,19.561673169814302,0
pvext_0001686,cal,mpp_near,4.4408920985006262e-16,1.4210854715202004e-14,2.8982045314051841e-15,1.1645534917935451e-16,2.9051133292310675e-15,3.1272857698731405e-15,2.7030928198614719e-15,0,8.3266726846886741e-17,16.637688468167319,0
pvext_0001687,cal,interior,0,1.4210854715202004e-14,1.7990992760353241e-16,1.1106573796699089e-16,4.7148161809276569e-16,4.7361988759902513e-16,1.3792658109203492e-16,1.7256988823950332e-16,8.7603535536828758e-16,6.1809317726962032,0
pvext_0001696,cal,short_circuit,0,5.4210108624275222e-20,0,0,4.5448884747448452e-16,3.1680439452014675e-16,1.6051796431651416e-16,0,7.8442027179326246e-16,2.1767569769701636,0
pvext_0001697,cal,open_circuit,4.4218101402648813e-15,2.4800994591345216e-13,5.7585310570360211e-16,1.9444035502130927e-16,6.7943674637206473e-16,6.7922081287605016e-16,2.5750096024313432e-12,2.391758073912245e-16,8.0491169285323849e-16,27.167895720230849,0
pvext_0001706,cal,mpp_near,0,0,2.635681977077955e-15,1.1511178276018083e-16,2.8024016867640748e-15,2.9386537476999627e-15,2.612197664951757e-15,0,1.0547118733938987e-15,23.465718198933345,0
pvext_0001707,cal,interior,0,0,4.0987853765354496e-15,1.144047748891075e-16,4.3082439883646409e-15,4.7502306909857217e-15,4.0214866650852124e-15,0,1.3877787807814457e-16,24.369278081740216,0
