index,path,root_abs,rho,accepted,status
60,0,5.2481004875204462e-08,5.2901107897281916e-08,1,1
61,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
62,0,2.754310290953299e-08,2.8043102909532992e-08,1,1
63,1,7.5495165674510645e-15,5.3983657848039005e-10,1,1
64,1,8.8817841970012523e-16,5.0000177635683943e-10,1,1
65,1,4.4408920985006262e-16,5.0020117241206211e-10,1,1
66,1,0,5.0000000000000003e-10,1,1
67,0,3.4734024989546697e-08,3.5231239662022515e-08,1,1
68,1,0,5.3586908547958959e-10,1,1
69,1,0,5.0000621724893793e-10,1,1
70,1,0,5.0123767662785216e-10,1,1
71,1,4.4408920985006262e-16,5.0000044408920988e-10,1,1
72,1,4.4408920985006262e-16,5.0231237251568931e-10,1,1
73,1,4.4408920985006262e-16,5.0001998401444328e-10,1,1
74,2,1.9095836023552692e-14,inf,1,1
75,1,0,5.0000000000000003e-10,1,1
76,1,1.3988810110276972e-13,5.0014210854715205e-10,1,1
77,2,1.59574575775423e-11,inf,1,1
78,1,0,5.0162714286489066e-10,1,1
79,1,4.4408920985006262e-16,5.0020383694732121e-10,1,1
80,1,0,5.0047828407900855e-10,1,1
81,1,0,5.2382449793003619e-10,1,1
82,2,2.7173818750725331e-12,inf,1,1
83,2,1.9095836023552692e-14,inf,1,1
84,1,2.4868995751603507e-14,5.0001953992523343e-10,1,1
85,1,4.4408920985006262e-16,5.0236344277482206e-10,1,1
86,1,0,5.0000444089209853e-10,1,1
87,1,4.4408920985006262e-16,5.019264589923296e-10,1,1
88,1,0,5.427147206494283e-10,1,1
89,1,0,8.2534552829588395e-10,1,1
90,2,2.078337502098293e-13,inf,1,1
91,1,7.9936057773011271e-15,5.8643841198363592e-10,1,1
92,2,0,inf,1,1
93,1,8.8817841970012523e-16,5.004725109192805e-10,1,1
94,1,2.48245868306185e-13,5.0028954616482227e-10,1,1
95,1,3.1086244689504383e-15,3.8693727807815325e-09,1,1
96,2,2.7797630863801714e-10,inf,1,1
97,2,6.4739325011942128e-12,inf,1,1
98,2,0,inf,1,1
99,2,1.7266188478970435e-12,inf,1,1
