domain,sample_id,branch,valid_steps,best_relative_error,convergence_observed
bem,bem_0001706,smooth,7,1.1785253276913986e-10,1
bem,bem_0001707,smooth,7,1.303482042767193e-10,1
bem,bem_0001716,smooth,7,1.035667683382211e-10,1
bem,bem_0001717,smooth,7,1.6267110443153476e-10,1
bem,bem_0001726,smooth,7,1.2610971528647422e-10,1
bem,bem_0001727,smooth,7,1.775590386674586e-10,1
bem,bem_0001736,smooth,7,4.944690420553337e-11,1
bem,bem_0001737,smooth,7,1.726718777537236e-10,1
bem,bem_0001746,smooth,7,1.3239147179643294e-10,1
bem,bem_0001747,smooth,7,1.2534813719820218e-10,1
bem,bem_0001756,smooth,7,9.669536565405698e-11,1
bem,bem_0001757,smooth,7,2.0211792152355387e-10,1
bem,bem_0001766,smooth,7,1.9887092250668975e-10,1
bem,bem_0001767,smooth,7,1.0508519917357596e-10,1
bem,bem_0001776,smooth,7,1.2819451767685262e-10,1
bem,bem_0001777,smooth,7,8.481798013990396e-11,1
bem,bem_0001786,smooth,7,1.1789452511527836e-10,1
bem,bem_0001787,smooth,7,6.219935686388735e-11,1
bem,bem_0001796,smooth,7,1.1890865526222115e-10,1
bem,bem_0001797,smooth,7,1.397534584057844e-10,1
bem,bem_0001806,smooth,7,1.031038876138594e-10,1
bem,bem_0001807,smooth,7,1.414868497037163e-10,1
bem,bem_0001816,smooth,7,1.330723568713006e-10,1
bem,bem_0001817,smooth,7,2.8206006084210136e-10,1
bem,bem_0001826,smooth,7,1.3158773871353722e-10,1
bem,bem_0001827,smooth,7,1.5870205062187155e-10,1
bem,bem_0001836,smooth,7,1.2979420567433696e-10,1
bem,bem_0001837,smooth,7,1.2313409468857315e-10,1
bem,bem_0001846,smooth,7,6.705859948419995e-11,1
bem,bem_0001847,smooth,7,1.407609885280626e-10,1
bem,bem_0001856,smooth,7,1.3390254611075238e-10,1
bem,bem_0001857,smooth,7,1.1052530753837362e-10,1
bem,bem_0001866,smooth,7,1.5021819783309256e-10,1
bem,bem_0001867,smooth,7,1.4327067309852986e-10,1
bem,bem_0001876,smooth,7,1.1689570286227312e-10,1
bem,bem_0001877,smooth,7,1.604491811075971e-10,1
bem,bem_0001886,smooth,7,1.2973149937934239e-10,1
bem,bem_0001887,smooth,7,1.6108712416602229e-10,1
bem,bem_0001896,smooth,7,5.0894569605932855e-11,1
bem,bem_0001897,smooth,7,1.125000676064754e-10,1
bem,bem_0001906,smooth,7,1.2979678585679862e-10,1
bem,bem_0001907,smooth,7,1.3277029430647476e-10,1
bem,bem_0001916,smooth,7,1.2783653836082551e-10,1
bem,bem_0001917,smooth,7,1.3307527657377306e-10,1
bem,bem_0001926,smooth,7,1.377767486674821e-10,1
bem,bem_0001927,smooth,7,1.2307568047162415e-10,1
bem,bem_0001936,smooth,7,1.7070283844384892e-10,1
