domain,n,method,kernel_median_ms,e2e_median_ms,kernel_mroots_s,e2e_mroots_s,root_diff_p99,root_diff_max,wrong_root,iterations_p99,checksum
kepler,8388608,fp64_equivalent,11.0443515778,46.6044807434,759.53829801,179.995740027,4.70054550838e-13,2.64345663414e-12,0,18,1371436.38426
kepler,16777216,df32,23.6330242157,93.8426589966,709.905590028,178.780270928,4.70054550838e-13,2.64345663414e-12,0,52,1371436.38426
kepler,16777216,fp64_equivalent,22.081823349,93.2658233643,759.774939544,179.886001054,4.70054550838e-13,2.64345663414e-12,0,18,1371436.38426
pv,1,df32,0.0960249602795,0.0997247993946,0.010413959007,0.0100275960049,3.19744231092e-14,3.19744231092e-14,0,40,7.44420283371
pv,1,fp64_equivalent,0.0122937597334,0.0158432014287,0.0813420809974,0.063118556215,3.19744231092e-14,3.19744231092e-14,0,3,7.44420283371
pv,8,df32,0.122515842319,0.15689599514,0.0652976778236,0.0509891918711,9.54791801178e-14,1.54543045028e-13,0,47,159.974506715
pv,8,fp64_equivalent,0.0184358395636,0.0249600000679,0.43393738443,0.32051281964,9.54791801178e-14,1.54543045028e-13,0,6,159.974506715
pv,32,df32,0.127703040838,0.165215998888,0.250581347084,0.193685842869,1.21902488104e-13,1.54543045028e-13,0,49,1302.5552024
pv,32,fp64_equivalent,0.0184460803866,0.0245312005281,1.73478589105,1.30446122942,1.21902488104e-13,1.54543045028e-13,0,6,1302.5552024
pv,128,df32,0.129752323031,0.17205439508,0.986494861976,0.743950771736,1.54543045028e-13,2.50910403565e-13,0,50,5992.42861454
pv,128,fp64_equivalent,0.0255347210914,0.0354176014662,5.01278238137,3.61402225733,1.54543045028e-13,2.50910403565e-13,0,7,5992.42861454
pv,512,df32,0.148903355002,0.203324794769,3.43847188663,2.51813853092,1.4788170688e-13,2.50910403565e-13,0,51,25877.1396024
pv,512,fp64_equivalent,0.0398563183844,0.048841599375,12.8461438676,10.4828671983,1.4788170688e-13,2.50910403565e-13,0,7,25877.1396024
pv,2048,df32,0.143968001008,0.158976003528,14.2253833189,12.8824473792,1.70308211977e-13,3.71258579435e-13,0,51,106226.468109
pv,2048,fp64_equivalent,0.0389311984181,0.0512959994376,52.6056243634,39.9251407996,1.70308211977e-13,3.71258579435e-13,0,7,106226.468109
pv,8192,df32,0.143782407045,0.225695997477,56.9749816291,36.2966117769,1.66089364484e-13,3.71258579435e-13,0,51,424574.890011
pv,8192,fp64_equivalent,0.0389887988567,0.0854720026255,210.11162796,95.8442501447,1.66089364484e-13,3.71258579435e-13,0,7,424574.890011
