timestamp, index, name, temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%]
2026/08/24 16:39:34.853, 1, NVIDIA GeForce RTX 5090, 37, 13.79 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:35.057, 0, NVIDIA GeForce RTX 5090, 55, 229.02 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:35.058, 1, NVIDIA GeForce RTX 5090, 37, 13.79 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:35.262, 0, NVIDIA GeForce RTX 5090, 55, 229.02 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:35.262, 1, NVIDIA GeForce RTX 5090, 37, 13.79 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:35.466, 0, NVIDIA GeForce RTX 5090, 55, 229.02 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:35.467, 1, NVIDIA GeForce RTX 5090, 37, 13.79 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:35.671, 0, NVIDIA GeForce RTX 5090, 55, 229.49 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:35.671, 1, NVIDIA GeForce RTX 5090, 37, 13.79 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:35.875, 0, NVIDIA GeForce RTX 5090, 55, 229.49 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:35.875, 1, NVIDIA GeForce RTX 5090, 37, 13.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:36.079, 0, NVIDIA GeForce RTX 5090, 55, 229.99 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:36.080, 1, NVIDIA GeForce RTX 5090, 37, 13.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:36.283, 0, NVIDIA GeForce RTX 5090, 55, 229.99 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:36.284, 1, NVIDIA GeForce RTX 5090, 37, 13.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:36.488, 0, NVIDIA GeForce RTX 5090, 55, 229.99 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:36.488, 1, NVIDIA GeForce RTX 5090, 37, 13.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:36.692, 0, NVIDIA GeForce RTX 5090, 55, 230.49 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:36.693, 1, NVIDIA GeForce RTX 5090, 37, 13.62 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:36.897, 0, NVIDIA GeForce RTX 5090, 55, 230.49 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:36.898, 1, NVIDIA GeForce RTX 5090, 37, 13.62 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:37.101, 0, NVIDIA GeForce RTX 5090, 55, 229.14 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:37.102, 1, NVIDIA GeForce RTX 5090, 37, 13.62 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:37.305, 0, NVIDIA GeForce RTX 5090, 55, 229.14 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:37.306, 1, NVIDIA GeForce RTX 5090, 37, 13.62 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:37.510, 0, NVIDIA GeForce RTX 5090, 55, 229.14 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:37.510, 1, NVIDIA GeForce RTX 5090, 37, 13.62 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:37.714, 0, NVIDIA GeForce RTX 5090, 55, 229.33 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:37.715, 1, NVIDIA GeForce RTX 5090, 37, 13.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:37.919, 0, NVIDIA GeForce RTX 5090, 55, 229.33 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:37.919, 1, NVIDIA GeForce RTX 5090, 37, 13.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:38.123, 0, NVIDIA GeForce RTX 5090, 55, 229.58 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:38.123, 1, NVIDIA GeForce RTX 5090, 37, 13.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:38.327, 0, NVIDIA GeForce RTX 5090, 55, 229.58 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:38.328, 1, NVIDIA GeForce RTX 5090, 37, 13.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:38.532, 0, NVIDIA GeForce RTX 5090, 55, 229.58 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:38.532, 1, NVIDIA GeForce RTX 5090, 37, 13.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:38.736, 0, NVIDIA GeForce RTX 5090, 55, 230.55 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:38.736, 1, NVIDIA GeForce RTX 5090, 37, 13.81 W, 600.00 W, 210 MHz, 405 MHz, 0 %
2026/08/24 16:39:38.938, 0, NVIDIA GeForce RTX 5090, 55, 230.55 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:38.938, 1, NVIDIA GeForce RTX 5090, 37, 13.81 W, 600.00 W, 210 MHz, 405 MHz, 0 %
2026/08/24 16:39:39.139, 0, NVIDIA GeForce RTX 5090, 55, 230.62 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:39.139, 1, NVIDIA GeForce RTX 5090, 37, 13.81 W, 600.00 W, 210 MHz, 405 MHz, 0 %
2026/08/24 16:39:39.340, 0, NVIDIA GeForce RTX 5090, 55, 230.62 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:39.341, 1, NVIDIA GeForce RTX 5090, 37, 14.76 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:39.541, 0, NVIDIA GeForce RTX 5090, 55, 230.62 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:39.542, 1, NVIDIA GeForce RTX 5090, 37, 14.76 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:39.746, 0, NVIDIA GeForce RTX 5090, 55, 230.59 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:39.746, 1, NVIDIA GeForce RTX 5090, 37, 16.54 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:39.950, 0, NVIDIA GeForce RTX 5090, 55, 230.59 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:39.951, 1, NVIDIA GeForce RTX 5090, 37, 16.54 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:40.154, 0, NVIDIA GeForce RTX 5090, 55, 230.54 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:40.155, 1, NVIDIA GeForce RTX 5090, 37, 16.54 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:40.359, 0, NVIDIA GeForce RTX 5090, 55, 230.54 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:40.359, 1, NVIDIA GeForce RTX 5090, 37, 16.54 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:40.562, 0, NVIDIA GeForce RTX 5090, 55, 229.77 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:40.562, 1, NVIDIA GeForce RTX 5090, 37, 16.54 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:40.766, 0, NVIDIA GeForce RTX 5090, 55, 229.77 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:40.766, 1, NVIDIA GeForce RTX 5090, 37, 13.52 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:40.971, 0, NVIDIA GeForce RTX 5090, 55, 229.77 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:40.971, 1, NVIDIA GeForce RTX 5090, 37, 13.52 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:41.175, 0, NVIDIA GeForce RTX 5090, 55, 229.19 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:41.175, 1, NVIDIA GeForce RTX 5090, 37, 13.52 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:41.379, 0, NVIDIA GeForce RTX 5090, 55, 229.19 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
