split,path,gate,index,accepted,truth_good,false_accept,false_reject,root_abs,rho,tightness,beta,h,branch_distance,gradient_bound,residual,bracket,status
cal,fp32,posterior,219,0,0,0,0,1.0713093838710108e-06,1.0718104865445189e-06,1.0004677478616844,1.0712942854451026e-06,0.00022800974034642549,0.0046925269318415352,0,5.415596118196137e-07,0,1
cal,fp32,posterior,220,0,0,0,0,2.1908308136531218e-06,2.191451321545903e-06,1.0002832294894313,2.1908999965406032e-06,0.00050303312477522971,0.0056272991252649535,0,1.0792130338510889e-06,0,1
cal,fp32,posterior,221,0,0,0,0,1.1195724671786422e-06,1.1200789171303261e-06,1.0004523601343647,1.1195911170557578e-06,0.00026381155152223714,0.0059388898564102337,0,5.4650983802080502e-07,0,1
cal,fp32,posterior,222,0,0,0,0,6.1961759545425821e-07,6.2011759545425825e-07,1.0008069493243386,6.1961696820220349e-07,1.6706072080398195e-05,0.0017028707876258137,0,9.003928886548413e-07,0,1
cal,fp32,posterior,223,0,0,0,0,1.4102218504064012e-07,1.4149373357723267e-07,1.0033437897480928,1.4102223302108313e-07,2.8144080190774447e-06,0.018736463465716325,0,1.7547028528521875e-07,0,1
cal,fp32,posterior,224,0,0,0,0,2.8639175280176232e-06,2.8705053591014745e-06,1.0023002865897508,2.8646474452925687e-06,0.0040731221041767204,0.00011374986866094791,0,2.0641084834183752e-07,0,1
cal,fp32,posterior,225,0,0,0,0,7.5071574561214049e-06,7.5203294884325383e-06,1.001754596515142,7.5052846659028911e-06,0.0039931028496219025,0.0035235108807682991,0,1.1845132867065025e-06,0,1
cal,fp32,posterior,226,0,0,0,0,1.8000755797054069e-06,1.8005752843860824e-06,1.0002776020553299,1.8000300688422008e-06,0.0004068146781622692,0.0054355509830336249,0,8.9154366895212048e-07,0,1
cal,fp32,posterior,227,0,0,0,0,8.5144571309037076e-06,8.5273898754843882e-06,1.0015189159310862,8.5126171220548442e-06,0.0034587749579925186,0.00031173881143331528,0,1.6185080992510901e-06,0,1
cal,fp32,posterior,228,0,0,0,0,5.8420317605722971e-07,5.8470317605722975e-07,1.0008558666239622,5.8420338386540419e-07,4.9752885875896948e-06,0.0086673591308959793,0,7.0064459994620368e-07,0,1
cal,fp32,posterior,229,0,0,0,0,7.7998836989223719e-07,7.8048836989223723e-07,1.0006410351991135,7.7998839719402634e-07,2.860974200907541e-11,0.59890568256378174,0,9.44349085932332e-07,0,1
cal,fp32,posterior,230,0,0,0,0,2.754277423910878e-07,2.7592774194699858e-07,1.0018153565489449,2.7542794726145428e-07,6.5715972350012429e-07,1.2464354155659104e-06,0,2.6073630559228454e-07,0,1
