index,h_relative,near_knot,fd,min_side_relative_error,branch_change,status
218,0.001,0,0.028201302549348856,8.2882891326401925e-06,0,1
219,0.001,0,0.028155450417746492,8.1998274154797568e-06,0,1
220,0.001,0,0.029519874538243888,9.6655831832455963e-06,0,1
221,0.001,0,0.029801862598938293,1.0221501766471938e-05,0,1
222,0.001,0,0.011838221852363408,1.1988134884538221e-06,0,1
223,0.001,0,0.017372143460181205,4.4300181699142888e-08,0,1
224,0.001,0,0.21814573427678802,0.051525880801800622,0,1
225,0.001,0,0.093940658641996203,0.00034905140410440794,0,1
226,0.001,0,0.028289491737317648,9.3485902400221591e-06,0,1
227,0.001,0,0.074578291406483838,0.00013986372631766294,0,1
228,0.001,0,0.019571346334295373,7.0564499008523632e-08,0,1
229,0.001,0,0.060746413607744257,9.414764751385756e-08,0,1
230,0.001,1,0.017457045892351936,0.025976397821998527,0,1
231,0.001,0,0.015783385948137076,6.1489569002086932e-08,0,1
232,0.001,0,0.014271330494806419,2.949876278982545e-07,0,1
233,0.001,0,0.023728786179537355,7.8299328390034112e-08,0,1
234,0.001,0,0.017848349688839586,3.0651610836097647e-07,0,1
235,0.001,0,0.045478055000656228,1.0554968624830928e-07,0,1
236,0.001,0,0.027295128099497839,8.0869646565039012e-08,0,1
237,0.001,1,0.015918038606015893,0.038559434058992648,0,1
238,0.001,0,0.040972224658410189,5.7576166437876156e-08,0,1
239,0.001,0,0.014777196754249074,1.7040974176219179e-07,0,1
240,0.001,0,0.041940230622180975,1.2308943976871552e-07,0,1
241,0.001,0,0.030848121089576869,7.2550357256069252e-08,0,1
242,0.001,1,0.013495400469125172,0.021477984497751214,0,1
243,0.001,1,0.014064709628364718,0.03273316490176393,0,1
244,0.001,0,0.045966066791316443,3.3384124524663705e-08,0,1
245,0.001,1,0.015251484094655043,0.0018323121280431189,0,1
246,0.001,0,0.013641598437675425,4.7802181953454274e-08,0,1
247,0.001,1,0.019112347069594846,0.0063538866863072831,0,1
248,0.001,1,0.013770316317820981,0.019729253510828978,0,1
249,0.001,0,0.021977390907759495,5.1688062882553399e-08,0,1
250,0.001,0,0.015762346418063813,6.3123153082189609e-07,0,1
251,0.001,0,0.024253388653103013,7.7418965712615018e-08,0,1
252,0.001,0,0.022950668139560967,5.6365414694271188e-07,0,1
253,0.001,1,0.014670767366090055,0.032417188889897218,0,1
254,0.001,0,0.01991754624185333,1.8268554840917247e-08,0,1
255,0.001,1,0.01469256081518926,0.00086149300588949187,0,1
256,0.001,0,0.033251612071854286,8.8565877607139801e-08,0,1
257,0.001,1,0.014911232783540082,0.0270789402053862,0,1
258,0.001,1,0.013495942756413659,0.014908936872605793,0,1
259,0.001,0,0.013971346066725137,7.187103214340312e-08,0,1
260,0.001,1,0.01733640228700133,0.0052295795808972607,0,1
261,0.001,1,0.017710878554941682,0.0036510815929189648,0,1
262,0.001,0,-0.020253197626770032,9.4362080748566343e-07,0,1
263,0.001,0,0.052499585392248131,5.2260045767029851e-07,0,1
264,0.001,0,0.048558851852161945,1.7636684779080858e-07,0,1
265,0.001,1,0.016808096356108256,0.0038230972730524957,0,1
266,0.001,0,0.015395545784600813,6.5942120597588491e-07,0,1
267,0.001,0,0.02025290805333339,2.542452199929635e-07,0,1
268,0.001,0,0.046018289140678681,9.187918829921761e-08,0,1
269,0.001,0,0.014687870370610975,1.3969942211136049e-06,0,1
270,0.001,0,0.026050721219256084,1.020532692998978e-06,0,1
271,0.001,0,0.033611875583312315,7.1613281779660605e-07,0,1
272,0.001,1,0.016604871013918991,0.0010633449993609732,0,1
273,0.001,0,0.024918423496307032,7.8354993223374146e-08,0,1
274,0.001,0,0.014362241432742711,4.9533848963344683e-07,0,1
275,0.001,1,0.014876683999691836,0.0014925616398020244,0,1
276,0.001,0,0.024500503080776084,6.9747182531308293e-08,0,1
277,0.001,0,0.057276097368489133,1.9436472581275113e-07,0,1
278,0.001,0,0.018904585538618238,4.789137023231234e-07,0,1
279,0.001,0,0.032262335817206847,1.7451300979279973e-07,0,1
280,0.001,0,0.022898473784728642,5.141287113390509e-08,0,1
281,0.001,1,0.014554822762129998,0.0010949338243063898,0,1
282,0.001,0,0.031021604062223023,3.8964432732397365e-07,0,1
283,0.001,1,0.016143233089587577,0.0036313475057053132,0,1
284,0.001,0,0.015828256379187378,5.7260321687229611e-08,0,1
285,0.001,0,0.017788349211865145,8.4793495787375523e-08,0,1
286,0.001,1,0.014322512975428296,0.013658534865496166,0,1
287,0.001,1,0.012939113238802546,0.017748909132867207,0,1
288,0.001,0,0.015418291604120324,3.9755395149595985e-09,0,1
289,0.001,0,0.046392281801191017,2.2936729607631307e-09,0,1
290,0.001,1,0.019765952154594108,0.0064018594080052244,0,1
291,0.001,1,0.014787764707156759,0.033580307738140788,0,1
292,0.001,0,0.018296794095422751,7.6975449594392176e-08,0,1
293,0.001,0,0.019282988952103737,1.3539994515358724e-07,0,1
294,0.001,0,0.0067830840790291374,9.870591255791735e-07,0,1
295,0.001,0,0.013987388787123771,3.3976704892682564e-07,0,1
296,0.001,1,0.012766618853680894,0.018503635593593675,0,1
297,0.001,0,0.023325890143642877,1.0223051019320812e-07,0,1
298,0.001,0,0.014085844722845417,3.4299289108127922e-08,0,1
299,0.001,0,0.014148664987608126,5.3593956003952675e-07,0,1
300,0.001,1,0.017114641809223525,0.0062062361653852875,0,1
301,0.001,0,0.022921424374640009,5.1991529183688854e-07,0,1
302,0.001,1,0.017302171221915616,0.0052192157696679346,0,1
303,0.001,1,0.012574689625053601,0.025178460771200187,0,1
304,0.001,0,0.015951333723703932,5.1522004026807843e-07,0,1
305,0.001,0,0.016615947258614424,8.071097529175823e-07,0,1
306,0.001,0,0.019556426295895213,1.3876256709108791e-07,0,1
307,0.001,0,0.015274049724787251,1.9520644158785103e-08,0,1
308,0.001,1,0.031300603315656796,0.0028802844686362404,0,1
309,0.001,0,0.01567456316630449,2.2570242036363393e-08,0,1
310,0.001,1,0.012662158430528592,0.030167137772154875,0,1
311,0.001,0,0.015018988375753049,6.5971703383240933e-09,0,1
312,0.001,1,0.012938759245211815,0.028934058818712985,0,1
313,0.001,0,0.013553333268083417,1.6882669764169663e-08,0,1
314,0.001,0,0.022744525464775709,6.7657682859609316e-08,0,1
315,0.001,0,0.023251285003778446,1.608716559576855e-07,0,1
316,0.001,0,0.014356274703178866,4.1204921570993814e-09,0,1
317,0.001,0,0.014559586667270618,5.0502945664852405e-07,0,1
