domain,n,method,timing_kind,median_ms,p05_ms,p95_ms,fp64_over_method_median,ci95_low,ci95_high
cstr,512,fp32,kernel,0.03279003314675,0.0327833294868,0.0330200642347,21.00020119690482,20.940750859706135,21.0052451773781
cstr,512,fp64,e2e,0.7018463909625,0.699440598488,0.703242540359,1.0,1.0,1.0
cstr,512,fp64,kernel,0.6887418627740001,0.688439428806,0.68910753727,1.0,1.0,1.0
cstr,2048,adaptive_frozen_v3,e2e,0.7375552058220001,0.736748814583,0.755852818489,0.9539864710435577,0.9528626765706336,0.9547554995480173
cstr,2048,adaptive_frozen_v3,kernel,0.722425103188,0.720159053802,0.723312616348,0.9554789326698347,0.9548974324265082,0.955931567859001
cstr,2048,adaptive_no_gradient_gate_v3,e2e,0.7376368045805,0.736758410931,0.739702403545,0.9534378464511145,0.9529194511985315,0.9539670765869452
cstr,2048,adaptive_no_gradient_gate_v3,kernel,0.7222748994829999,0.720005393028,0.722629070282,0.9560264658662602,0.9554426144573785,0.9562224713179279
cstr,2048,fp32,e2e,0.04933600127695,0.0482719987631,0.0502943992615,14.25533554229029,14.068132478040106,14.323115228983774
cstr,2048,fp32,kernel,0.0328001603484,0.0327817611396,0.0328204780817,21.043831894650516,20.996563056384844,21.052948555449106
cstr,2048,fp64,e2e,0.7036640048025,0.702425599098,0.723868787289,1.0,1.0,1.0
cstr,2048,fp64,kernel,0.690456807613,0.688052117825,0.691442549229,1.0,1.0,1.0
cstr,8192,adaptive_frozen_v3,e2e,0.7622399926185,0.760348796844,0.7651039958,0.9583225035779095,0.9575700927440026,0.9591437535764833
cstr,8192,adaptive_frozen_v3,kernel,0.7232958078380001,0.720879673958,0.723578870296,0.9560725367820055,0.9555807365168573,0.9569248003379205
cstr,8192,adaptive_no_gradient_gate_v3,e2e,0.762097597122,0.759136021137,0.781539201736,0.9583455301517223,0.9571591501551262,0.9597116179857546
cstr,8192,adaptive_no_gradient_gate_v3,kernel,0.7232259213925001,0.720759630203,0.724738538265,0.9561358314583506,0.954626384274164,0.9564208615451393
cstr,8192,fp32,e2e,0.07402720302345,0.0705631971359,0.0760992020369,9.893943184863708,9.782870156796113,10.000627135830115
cstr,8192,fp32,kernel,0.032804479822499996,0.0327811203897,0.0328220799565,21.081607216736984,21.07256794740729,21.088939342388237
cstr,8192,fp64,e2e,0.7305696010589999,0.729107201099,0.731711983681,1.0,1.0,1.0
cstr,8192,fp64,kernel,0.6916088163855,0.689222097397,0.692647695541,1.0,1.0,1.0
cstr,32768,adaptive_frozen_v3,e2e,0.8507359921935,0.84265601635,0.854463994503,0.9596174885805504,0.9581983687919078,0.9613906108689376
cstr,32768,adaptive_frozen_v3,kernel,0.7262975871565001,0.725913643837,0.727120041847,0.9552036757023632,0.9546436756393049,0.9554616689844174
cstr,32768,adaptive_no_gradient_gate_v3,e2e,0.8518400192260001,0.846463978291,0.855296015739,0.9594733914448061,0.9574855064156629,0.9605479291903418
cstr,32768,adaptive_no_gradient_gate_v3,kernel,0.7261104285715,0.724361598492,0.726700782776,0.9554829638616534,0.9549758979420555,0.9558820115918368
cstr,32768,fp32,e2e,0.161264002323,0.150815993547,0.16531200707,5.055976595932013,4.971185878071751,5.216285863974504
cstr,32768,fp32,kernel,0.0330527983606,0.0328512005508,0.0331455990672,21.002375392955905,20.98354350042723,21.048007136844937
cstr,32768,fp64,e2e,0.8164000213145,0.812864005566,0.819296002388,1.0,1.0,1.0
cstr,32768,fp64,kernel,0.6937616169455,0.693292796612,0.694492816925,1.0,1.0,1.0
cstr,131072,adaptive_frozen_v3,e2e,3.275503993035,3.25219202042,3.29228806496,0.9791287928219872,0.9752850793765577,0.9810086666738773
cstr,131072,adaptive_frozen_v3,kernel,2.8091039657600003,2.80524802208,2.82035207748,0.9777081385723401,0.9765349772267242,0.9783933301119492
cstr,131072,adaptive_no_gradient_gate_v3,e2e,3.26819205284,3.25625610352,3.28598403931,0.9803246890495352,0.9794443697085085,0.9814950824683658
cstr,131072,adaptive_no_gradient_gate_v3,kernel,2.81216001511,2.80480003357,2.82294392586,0.9767231696521608,0.9754992879194704,0.9777623047238454
cstr,131072,fp32,e2e,0.530624002218,0.513375997543,0.540639996529,6.048017796823465,6.001349302413088,6.121784878358353
cstr,131072,fp32,kernel,0.0675520002842,0.0663679987192,0.0685440003872,40.68207610304839,40.65119587658725,40.742945468877615
cstr,131072,fp64,e2e,3.202319979665,3.19203209877,3.22345590591,1.0,1.0,1.0
cstr,131072,fp64,kernel,2.746719956395,2.74380803108,2.75145602226,1.0,1.0,1.0
cstr,524288,adaptive_frozen_v3,e2e,10.906703949,10.8755197525,10.9991359711,0.9863297040863124,0.9852741800983373,0.9879374413770808
cstr,524288,adaptive_frozen_v3,kernel,9.074384212495,9.06278419495,9.23600006104,0.9835570379817153,0.9830149837895483,0.9838606404938606
cstr,524288,adaptive_no_gradient_gate_v3,e2e,10.9084801674,10.8415355682,11.3723201752,0.9860422150762265,0.9851203152108936,0.9867068810054922
cstr,524288,adaptive_no_gradient_gate_v3,kernel,9.07528018951,9.06492805481,9.39398384094,0.9831978736106519,0.9829665041913866,0.9838207692211764
cstr,524288,fp32,e2e,2.021376013755,1.97798395157,2.04851198196,5.335636180551017,5.310078643721564,5.368979617720345
cstr,524288,fp32,kernel,0.182896003127,0.181024000049,0.18323199451,48.80889417748466,48.73394049852596,48.95724076061744
cstr,524288,fp64,e2e,10.757999897000001,10.7200956345,11.0028476715,1.0,1.0,1.0
cstr,524288,fp64,kernel,8.921952247615,8.91952037811,9.2679681778,1.0,1.0,1.0
cstr,2097152,adaptive_frozen_v3,e2e,41.30568122865,41.1722221375,41.7706222534,0.9879565669436283,0.9806100530308809,0.9932851723742964
cstr,2097152,adaptive_frozen_v3,kernel,34.115633010850004,34.100894928,34.5497932434,0.9858844885469453,0.9825476833508485,0.9909154918010104
cstr,2097152,adaptive_no_gradient_gate_v3,e2e,41.297807693500005,41.1735687256,41.8193283081,0.987968093023168,0.9871587605088994,0.9889248860938401
cstr,2097152,adaptive_no_gradient_gate_v3,kernel,34.11289596555,34.0993270874,34.4402885437,0.9858107956957511,0.9856302607058494,0.9862999270430586
cstr,2097152,fp32,e2e,7.8015840053600005,7.72735977173,7.91315221786,5.251455691617615,5.220128172002353,5.2618030852128985
cstr,2097152,fp32,kernel,0.6516160070895001,0.649471998215,0.653504014015,51.638460503927796,51.594278249416845,51.91979523444046
cstr,2097152,fp64,e2e,40.778383254999994,40.6808013916,41.3173446655,1.0,1.0,1.0
cstr,2097152,fp64,kernel,33.62735939025,33.616897583,33.9816322327,1.0,1.0,1.0
cstr,8388608,adaptive_frozen_v3,e2e,163.1722106935,162.944351196,163.777435303,0.9891989320176658,0.9880216469480427,0.9896928662552622
cstr,8388608,adaptive_frozen_v3,kernel,134.529182434,134.486816406,135.012954712,0.9864349382548454,0.985002920207192,0.9868539452593519
cstr,8388608,adaptive_no_gradient_gate_v3,e2e,163.222251892,162.93977356,163.626022339,0.9890888799790214,0.9886806655413514,0.9894592451177602
cstr,8388608,adaptive_no_gradient_gate_v3,kernel,134.541091919,134.505187988,134.875427246,0.9864965056091142,0.9861779184798485,0.987340267545555
cstr,8388608,fp32,e2e,30.86636829375,30.7670726776,31.0762882233,5.232527125210882,5.224729682325155,5.235960791266577
cstr,8388608,fp32,kernel,2.546576023105,2.51772809029,2.56230401993,52.11343488611688,52.05788364531024,52.21137618032317
cstr,8388608,fp64,e2e,161.328239441,161.160415649,161.884613037,1.0,1.0,1.0
cstr,8388608,fp64,kernel,132.71446228,132.6824646,133.203552246,1.0,1.0,1.0
cstr,16777216,adaptive_frozen_v3,e2e,326.4174194335,325.932006836,326.671508789,0.9893401215732032,0.9889314467550456,0.9897467574311682
cstr,16777216,adaptive_frozen_v3,kernel,269.3490753175,269.03012085,269.688262939,0.9866977822532554,0.9860837797640514,0.9872105259663109
cstr,16777216,adaptive_no_gradient_gate_v3,e2e,326.505584717,325.961853027,326.695220947,0.9892618283747106,0.9884114576679511,0.989704748385996
cstr,16777216,adaptive_no_gradient_gate_v3,kernel,269.336227417,268.969787598,269.515167236,0.9869007482632709,0.9862849491982206,0.987562135797997
cstr,16777216,fp32,e2e,61.71619224545,61.5439682007,61.8326072693,5.233282456467226,5.2280778343758545,5.239559380040253
cstr,16777216,fp32,kernel,5.382848024365,5.09331178665,5.42985582352,49.37696941229224,49.10460761176926,50.73111064660023
cstr,16777216,fp64,e2e,322.9467163085,322.419067383,323.195465088,1.0,1.0,1.0
cstr,16777216,fp64,kernel,265.8077087405,265.401153564,266.040283203,1.0,1.0,1.0
kepler,1,adaptive_frozen_v3,e2e,0.11045552045099999,0.110365435481,0.113436155021,0.9047373471722773,0.8987813478812028,0.9051152101471622
kepler,1,adaptive_frozen_v3,kernel,0.101873248816,0.101820893586,0.102029882371,0.9069486917883538,0.9063732679869457,0.907178857892643
kepler,1,adaptive_no_gradient_gate_v3,e2e,0.110450237989,0.110226877034,0.113526716828,0.9052951191565509,0.8987000528989609,0.9056372147145426
kepler,1,adaptive_no_gradient_gate_v3,kernel,0.1018859036265,0.101824767888,0.102012291551,0.9069346705384151,0.9064389977387597,0.9070541020053087
kepler,1,fp32,e2e,0.01290192035955,0.0119846407324,0.0130335995927,7.748289975403756,7.728350360779283,7.818113633918042
kepler,1,fp32,kernel,0.008199696429075,0.00819779187441,0.00840691197664,11.269458450744036,11.269020554920939,11.270403767145535
kepler,1,fp64,e2e,0.09997199848295,0.0998313650489,0.103100158274,1.0,1.0,1.0
kepler,1,fp64,kernel,0.0924087166786,0.0921805724502,0.0924190059304,1.0,1.0,1.0
kepler,8,adaptive_frozen_v3,e2e,0.11252256110299999,0.112275198102,0.116333439946,0.8867310576527219,0.8854476366489065,0.8877059876584563
