effective_irradiance_W_m2,cell_temperature_C,IL_A,I0_A,Rs_ohm,Rsh_ohm,nNsVth_V,i_sc,v_oc,i_mp,v_mp,p_mp
350,20,1.78273241970467,3.448226987841087e-10,1.066023,1089.298357142857,2.591721304376991,1.780989484771477,57.88836286931405,1.647567707824016,48.44467411851309,79.81588069372005
400,20,2.03740847966248,3.448226987841087e-10,1.066023,953.1360625000001,2.591721304376991,2.035132311161964,58.23396356559078,1.882270737538282,48.54799687088276,91.38047387616267
450,20,2.29208453962029,3.448226987841087e-10,1.066023,847.2320555555557,2.591721304376991,2.2892041661338,58.53880491171253,2.116756740061346,48.61288941151825,102.9016613156881
500,20,2.5467605995781,3.448226987841087e-10,1.066023,762.5088500000001,2.591721304376991,2.543205079410888,58.81149473054415,2.351018497654809,48.64754142933462,114.3712697657944
550,20,2.80143665953591,3.448226987841087e-10,1.066023,693.1898636363636,2.591721304376991,2.797135080700428,59.05817263047584,2.585049106000127,48.65780140009137,125.7828060092379
600,20,3.05611271949372,3.448226987841087e-10,1.066023,635.4240416666668,2.591721304376991,3.050994199692921,59.28337187040256,2.818841917314672,48.64799115195058,137.1309966522716
650,20,3.31078877945153,3.448226987841087e-10,1.066023,586.5452692307693,2.591721304376991,3.304782466062166,59.49053505650545,3.052390458231836,48.62139509001094,148.4114824386696
700,20,3.56546483940934,3.448226987841087e-10,1.066023,544.6491785714286,2.591721304376991,3.55849990946526,59.68233818056933,3.285688259496743,48.58056960964376,159.6206072060708
750,20,3.82014089936715,3.448226987841087e-10,1.066023,508.3392333333334,2.591721304376991,3.812146559542593,59.86090259293496,3.518728839066049,48.52754368986759,170.7552674705748
800,20,4.07481695932496,3.448226987841087e-10,1.066023,476.56803125,2.591721304376991,4.065722445917844,60.02793842429742,3.751505643173293,48.46395543951861,181.8128023218531
850,20,4.329493019282769,3.448226987841087e-10,1.066023,448.5346176470589,2.591721304376991,4.319227598197969,60.1848444507923,3.984012043562073,48.39114662953553,192.7909109738477
900,20,4.58416907924058,3.448226987841087e-10,1.066023,423.6160277777778,2.591721304376991,4.572662045973201,60.33277937110256,4.216241282439985,48.31023088103469,203.6875898048255
950,20,4.83884513919839,3.448226987841087e-10,1.066023,401.3204473684211,2.591721304376991,4.826025818817024,60.47271378654727,4.448186486758976,48.22214268512615,214.5010834545413
1000,20,5.0935211991562,3.448226987841087e-10,1.066023,381.254425,2.591721304376991,5.079318946286176,60.60546883262236,4.679840559645958,48.12767516280439,225.2298462683573
1050,20,5.34819725911401,3.448226987841087e-10,1.066023,363.0994523809524,2.591721304376991,5.332541457920621,60.731745375321,4.911196356996836,48.02750579479851,235.8725114950589
1100,20,5.60287331907182,3.448226987841087e-10,1.066023,346.5949318181818,2.591721304376991,5.585693383243532,60.85214640923459,5.142246489894267,47.92221976769148,246.4278663883532
100,25,0.511426,8.102508e-10,1.066023,3812.54425,2.635926,0.5112830402979454,53.33898568614245,0.4722683865795201,45.17266217773951,21.33362028418275
150,25,0.7671389999999999,8.102508e-10,1.066023,2541.696166666667,2.635926,0.7668173857451198,54.40627786548771,0.7084831515957987,45.95784618234997,32.56035970382625
200,25,1.022852,8.102508e-10,1.066023,1906.272125,2.635926,1.022280321323333,55.16353321210386,0.9445508844306393,46.44989203911292,43.87428660725183
