e,M_rad,E_rad,residual,condition_dE_dM,x_over_a,y_over_a
0,2.719193641342426,2.719193641342426,0,1,-0.91210809139898774,0.40994978912605362
0,2.7455935796078865,2.7455935796078865,0,1,-0.92261165193368289,0.38573013845977966
0,2.771993517873347,2.771993517873347,0,1,-0.93247222940435581,0.36124166618715292
0,2.7983934561388075,2.7983934561388075,0,1,-0.94168295181421158,0.33650143872273913
0,2.8247933944042676,2.8247933944042676,0,1,-0.95023740006101487,0.31152669793339183
0,2.8511933326697281,2.8511933326697281,0,1,-0.95812961241066796,0.28633484912211288
0,2.8775932709351886,2.8775932709351886,0,1,-0.96535408865203864,0.26094344889801691
0,2.9039932092006491,2.9039932092006491,0,1,-0.97190579393014764,0.23537019294084263
0,2.9303931474661096,2.9303931474661096,0,1,-0.97778016225504072,0.20963290366854664
0,2.9567930857315701,2.9567930857315701,0,1,-0.98297309968390179,0.18374951781657037
0,2.9831930239970306,2.9831930239970306,0,1,-0.98748098717418731,0.15773807393743752
0,3.0095929622624906,3.0095929622624906,0,1,-0.99130068310579678,0.13161669982939386
0,3.0359929005279516,3.0359929005279516,0,1,-0.99442952547051844,0.10540359990284764
0,3.0623928387934121,3.0623928387934121,0,1,-0.99686533372722597,0.079117042493424369
0,3.0887927770588721,3.0887927770588721,0,1,-0.99860641032153363,0.052775347130462592
0,3.1151927153243326,3.1151927153243326,0,1,-0.99965154186884886,0.026396871769836513
0,3.1415926535897931,3.1415926535897931,0,1,-1,1.2246467991473532e-16
0.024358974358974359,0,0,0,1.0249671484888305,0.97564102564102562,0
0.024358974358974359,1e-10,1.0249671484888305e-10,0,1.0249671484888305,0.97564102564102562,1.0246630163022676e-10
0.024358974358974359,1.4208308325339237e-10,1.456304926907307e-10,2.5849394142282115e-26,1.0249671484888305,0.97564102564102562,1.4558728065194725e-10
0.024358974358974359,2.0187602546790348e-10,2.0691629417209556e-10,0,1.0249671484888305,0.97564102564102562,2.0685489717505537e-10
0.024358974358974359,2.8683168133420089e-10,2.9399305051337277e-10,0,1.0249671484888305,0.97564102564102562,2.9390581576695307e-10
0.024358974358974359,4.0753929658717781e-10,4.1771439072010339e-10,0,1.0249671484888305,0.97564102564102562,4.1759044490272203e-10
0.024358974358974359,5.7904439806024953e-10,5.9350148552824526e-10,0,1.0249671484888305,0.97564102564102562,5.933253794893462e-10
0.024358974358974359,8.2272413417004569e-10,8.4326520979321373e-10,0,1.0249671484888305,0.97564102564102562,8.4301499290335046e-10
0.024358974358974359,1.1689518164985776e-09,1.1981372100773856e-09,2.0679515313825692e-25,1.0249671484888305,0.97564102564102562,1.1977816942054471e-09
0.024358974358974359,1.6608827826277166e-09,1.7023502896841248e-09,0,1.0249671484888305,0.97564102564102562,1.7018451617718194e-09
