Tr,v_over_b,P_over_Pc
0.8,1.671533693643793,-1.325226987491293
0.8,1.686260247866578,-1.402146863702167
0.8,1.70111654604852,-1.472017085456656
0.8,1.716103731260473,-1.535302061195414
0.8,1.731222956643983,-1.592433474303274
0.8,1.746475385500006,-1.64381294566877
0.8,1.76186219137842,-1.689814445662728
0.8,1.777384558168317,-1.730786482419604
0.8,1.793043680189093,-1.767054090068239
0.8,1.808840762282344,-1.798920637753141
0.8,1.824777019904568,-1.82666947785045
0.8,1.840853679220682,-1.850565449661319
0.8,1.857071977198368,-1.870856253014782
0.8,1.873433161703246,-1.887773704594588
0.8,1.889938491594889,-1.901534888387665
0.8,1.906589236823679,-1.912343210408557
0.8,1.923386678528521,-1.920389366761277
0.8,1.94033210913542,-1.925852233137239
0.8,1.957426832456912,-1.928899682998693
0.8,1.974672163792395,-1.929689340946332
0.8,1.992069430029321,-1.928369277105425
0.8,2.009619969745292,-1.925078647775445
0.8,2.027325133311055,-1.919948287064982
0.8,2.045186282994396,-1.913101253768376
0.8,2.063204793064963,-1.904653337325815
0.8,2.081382049900001,-1.894713526338976
0.8,2.099719452091018,-1.883384442783838
0.8,2.118218410551406,-1.870762744766769
0.8,2.136880348624989,-1.856939500405377
0.8,2.155706702195541,-1.84200053517805
0.8,2.17469891979727,-1.826026754873001
0.8,2.193858462726263,-1.809094446075852
0.8,2.213186805152927,-1.791275555962204
0.8,2.232685434235413,-1.772637953005982
0.8,2.252355850234037,-1.753245670074118
0.8,2.272199566626719,-1.733159131251051
0.8,2.292218110225426,-1.712435363622047
0.8,2.312413021293655,-1.691128195140278
0.8,2.332785853664937,-1.669288439608598
0.8,2.353338174862396,-1.646964069721468
0.8,2.374071566219357,-1.624200379034882
0.8,2.39498762300101,-1.601040133661716
0.8,2.416087954527166,-1.577523714425617
0.8,2.437374184296068,-1.553689250148208
0.8,2.458847950109311,-1.529572742690978
0.8,2.48051090419786,-1.505208184324655
0.8,2.502364713349173,-1.480627667954443
0.8,2.524411059035444,-1.455861490688803
0.8,2.546651637542984,-1.430938251202426
0.8,2.569088160102734,-1.405884941309908
0.8,2.591722353021929,-1.380727032135552
0.8,2.614555957816925,-1.355488555236011
0.8,2.637590731347192,-1.330192179006339
0.8,2.660828445950496,-1.304859280675855
0.8,2.684270889579257,-1.279510014178016
0.8,2.707919865938124,-1.254163374158165
0.8,2.731777194622755,-1.228837256364194
0.8,2.755844711259816,-1.203548514647884
0.8,2.780124267648221,-1.178313014788698
0.8,2.804617731901612,-1.153145685337128
0.8,2.829326988592093,-1.12806056566107
0.8,2.854253938895238,-1.10307085136617
0.8,2.879400500736363,-1.07818893724947
0.8,2.904768608938103,-1.053426457934925
0.8,2.930360215369272,-1.028794326329483
0.8,2.956177289095053,-1.004302770029141
0.8,2.982221816528492,-0.9799613657959166
0.8,3.008495801583345,-0.9557790722187288
0.8,3.035001265828255,-0.9317642606638749
0.8,3.061740248642302,-0.9079247446139271
0.8,3.088714807371911,-0.8842678074876106
0.8,3.115927017489151,-0.8608002290272637
0.8,3.143378972751426,-0.8375283103350609
0.8,3.171072785362571,-0.8144578976341056
0.8,3.199010586135369,-0.7915944048256771
0.8,3.227194524655501,-0.7689428349095949
0.8,3.255626769446938,-0.7465078003304986
0.8,3.28430950813879,-0.7242935423090141
0.8,3.313244947633629,-0.7023039492132039
0.8,3.34243531427729,-0.6805425740223684
0.8,3.371882854030171,-0.6590126509321146
0.8,3.401589832640043,-0.6377171111467546
0.8,3.431558535816374,-0.6166585979022997
0.8,3.461791269406206,-0.5958394807608443
0.8,3.492290359571563,-0.5752618692146869
0.8,3.523058152968434,-0.5549276256363728
0.8,3.554097016927327,-0.534838377608694
0.8,3.585409339635416,-0.5149955296667693
0.8,3.616997530320295,-0.4954002744824861
0.8,3.648864019435347,-0.4760536035198586
0.8,3.681011258846744,-0.4569563171882714
0.8,3.713441722022105,-0.4381090345190241
0.8,3.746157904220802,-0.4195122023892389
0.8,3.779162322685954,-0.4011661043157902
0.8,3.81245751683811,-0.3830708688407237
