sample_id,branch,e,M_rad,orekit_E_rad,mpmath_E_rad,absolute_error,orekit_residual
kepler_0001618,ordinary,0.258295873876492,2.4738952216204231,2.6057682085198239,2.6057682085198239,0,0
kepler_0001619,ordinary,0.75769964469939255,1.1492355256725579,1.8726723089674731,1.8726723089674731,0,0
kepler_0001620,difficult,0.99999999992620325,1.8828481599520721e-08,0.0048341442902707487,0.0048341442902634134,7.3352782181679288e-15,1.5765400730770665e-19
kepler_0001621,high_e,0.9197489459883722,2.3784012963028864,2.7388719271643898,2.7388719271643898,0,4.4408920985006262e-16
kepler_0001622,ordinary,0.57828655370972848,1.8415233924861247,2.2802716013582853,2.2802716013582853,0,2.2204460492503131e-16
kepler_0001623,ordinary,0.48329155136347507,0.72507264582581177,1.1700784149440429,1.1700784149440431,2.2204460492503131e-16,1.1102230246251565e-16
kepler_0001624,difficult,0.99999999082701219,1.280496829777771e-06,0.019731447289150387,0.019731447289147226,3.1606661732297425e-15,2.7295636725269828e-19
kepler_0001625,high_e,0.92955311226222148,1.9841375519893889,2.5230997768777588,2.5230997768777588,0,2.2204460492503131e-16
kepler_0001626,ordinary,0.27267148971235255,1.1691244021710054,1.4394471238025801,1.4394471238025801,0,0
kepler_0001627,ordinary,0.50110406869231383,1.8523123342390637,2.2440682934547311,2.2440682934547311,0,2.2204460492503131e-16
kepler_0001628,difficult,0.99999991990058923,5.0360946018688345e-08,0.0066865315308355664,0.0066865315308497287,1.4162282457874653e-14,2.5185333546524544e-19
kepler_0001629,high_e,0.94451053232429905,1.1417707834881996,2.0004391049293004,2.0004391049293004,0,2.2204460492503131e-16
kepler_0001630,ordinary,0.68245531165534257,0.9307392167280828,1.6125983508544839,1.6125983508544839,0,0
kepler_0001631,ordinary,0.52273139203722974,2.7379296121435832,2.8754261817468838,2.8754261817468838,0,4.4408920985006262e-16
kepler_0001632,difficult,0.99999999977793008,1.7343757969326561e-06,0.021832385795940393,0.021832385795936805,3.5874081483200371e-15,1.1250715121905244e-18
kepler_0001633,high_e,0.90863312130653862,2.0825754226510997,2.5723349778514342,2.5723349778514342,0,0
kepler_0001634,ordinary,0.71233072366952621,2.4042300809096289,2.7052686734823488,2.7052686734823488,0,4.4408920985006262e-16
kepler_0001635,ordinary,0.39979182228641919,2.9569268973319742,3.0095594564070249,3.0095594564070249,0,0
