method,index,near_knot,multi_root,root_abs,residual,status,path
fp32,165,0,1,4.0860899323647004e-05,1.4797517529270434e-06,1,0
fp32,166,0,1,2.7692705470983014e-06,5.026524802150179e-07,1,0
fp32,167,0,1,6.9666493640596627e-06,1.3070225737476323e-06,1,0
fp32,168,0,1,1.19560792439799e-05,7.2148359155955492e-07,1,0
fp32,169,0,1,1.3089206639005369e-05,1.4412676978067473e-06,1,0
fp32,170,0,1,3.6294494494271134e-06,1.9102428552458467e-06,1,0
fp32,171,0,1,1.6110817724346305e-06,8.4250260244777253e-07,1,0
fp32,172,0,1,2.0663506386853214e-05,1.0731726384265518e-06,1,0
fp32,173,0,1,1.5769785391750446e-05,6.9900914797042599e-07,1,0
fp32,174,0,1,7.0416140256490678e-06,1.2975543668410975e-06,1,0
fp32,175,0,1,1.6979542505346501e-06,8.5612659678857811e-07,1,0
fp32,176,0,1,7.4193538752709287e-06,9.7334660092194191e-07,1,0
fp32,177,0,1,2.0241514242513858e-08,9.3523936308112004e-09,1,0
fp32,178,0,1,5.1374939191717317e-07,2.7023299707354308e-07,1,0
fp32,179,0,1,1.0199289017798208e-06,5.3094712942899385e-07,1,0
fp32,180,0,1,1.5959040138291414e-06,1.6659784039845787e-07,1,0
fp32,181,0,1,6.6561145222188145e-06,1.0372783554880042e-06,1,0
fp32,182,0,1,1.1642816313717219e-05,1.8515088101295742e-06,1,0
fp32,183,0,1,6.7965709504402838e-05,1.390123836800223e-06,1,0
fp32,184,0,1,9.8849688496827071e-06,1.5456553945277081e-06,1,0
fp32,185,0,1,3.1099935648981614e-06,1.518559173637376e-06,1,0
fp32,186,0,0,3.4240489572567867e-06,1.5113807659335887e-06,1,0
fp32,187,0,1,1.5490266636941641e-05,1.0335893441784044e-06,1,0
fp32,188,1,0,6.096302453961755e-07,5.2839020661940061e-07,1,0
fp32,189,0,1,4.5551688021561176e-06,6.2491350059246132e-07,1,0
fp32,190,0,1,3.0641033692546671e-06,1.6149031733337915e-06,1,0
fp32,191,0,1,7.695702733734322e-06,1.1058525663572907e-06,1,0
fp32,192,1,0,2.3025029025625088e-06,1.9861104872239915e-06,1,0
fp32,193,0,0,1.1396111343486837e-06,1.2153164688499807e-06,1,0
fp32,194,0,1,3.7281443079351106e-06,7.0479594843614238e-07,1,0
fp32,195,0,1,5.9227730315747351e-06,1.0285669768263535e-06,1,0
fp32,196,0,1,1.2306179722809674e-05,1.7293752560202845e-06,1,0
fp32,197,0,1,1.4331858793070751e-06,2.0113517073626024e-07,1,0
fp32,198,0,1,1.0621173030411768e-05,1.7707332427731297e-06,1,0
fp32,199,0,1,1.282102032540422e-06,1.6029674300520368e-07,1,0
fp32,200,0,1,1.3614754665880469e-06,6.7864227889083238e-07,1,0
fp32,201,1,1,2.6449811629802866e-06,1.0774284154237525e-06,1,0
fp32,202,0,0,5.9281514719344841e-07,8.745827217357513e-07,1,0
fp32,203,0,1,1.7389402132916842e-05,1.143858950918107e-06,1,0
fp32,204,1,0,2.1000565197937249e-06,1.6024116383154867e-06,1,0
fp32,205,0,0,1.820460413526348e-07,1.8730506295971949e-07,1,0
fp32,206,0,1,1.1320281340765348e-05,1.9052126280019616e-06,1,0
fp32,207,0,1,7.8776492435927992e-06,1.1407750143686861e-06,1,0
fp32,208,0,1,5.566660044475924e-06,7.9732899581162201e-07,1,0
fp32,209,0,1,1.5663798854426147e-05,1.6126879091563908e-06,1,0
fp32,210,0,1,3.3724728907280621e-06,4.2805630556368759e-07,1,0
fp32,211,0,1,1.7926668115286759e-05,5.1724184657243605e-07,1,0
fp32,212,0,1,9.3707123425268435e-06,1.3192307810851928e-06,1,0
fp32,213,0,1,4.0153302194312346e-06,1.8649911411002869e-06,1,0
fp32,214,0,0,2.109940211880712e-06,1.5654371449592791e-06,1,0
fp32,215,1,0,8.9635911937335777e-07,1.3935211809136066e-06,1,0
fp32,216,0,0,6.9568112337492494e-07,6.8229509697341494e-07,1,0
fp32,217,0,1,3.2929288567018489e-06,1.7249481626872357e-06,1,0
fp32,218,0,1,2.4118600161493475e-06,1.2172486747264213e-06,1,0
fp32,219,0,1,1.0713093838710108e-06,5.415595833967395e-07,1,0
fp32,220,0,1,2.1908308136531218e-06,1.0792130054282288e-06,1,0
fp32,221,0,1,1.1195724671786422e-06,5.465098095979702e-07,1,0
fp32,222,0,0,6.1961759545425821e-07,9.0039286022980219e-07,1,0
fp32,223,0,0,1.4102218504064012e-07,1.7547025686067518e-07,1,0
fp32,224,0,1,2.8639175280176232e-06,2.0641081992000575e-07,1,0
fp32,225,0,1,7.5071574561214049e-06,1.1845132582844005e-06,1,0
fp32,226,0,1,1.8000755797054069e-06,8.9154364052925951e-07,1,0
fp32,227,0,1,8.5144571309037076e-06,1.6185080708289023e-06,1,0
fp32,228,0,0,5.8420317605722971e-07,7.0064457152174743e-07,1,0
fp32,229,0,0,7.7998836989223719e-07,9.4434905750784282e-07,1,0
fp32,230,1,0,2.754277423910878e-07,2.6073627717054615e-07,1,0
fp32,231,0,0,4.6721661295379135e-07,6.1040356227837962e-07,1,0
fp32,232,0,0,1.4958782599272524e-06,1.1901402576677896e-06,1,0
fp32,233,0,0,2.6886369308698477e-07,3.2390448895952322e-07,1,0
fp32,234,0,0,6.011737632150016e-07,5.4018638789642565e-07,1,0
fp32,235,0,0,4.5406416759874446e-07,6.8257611749420657e-07,1,0
fp32,236,0,0,7.4913340730731193e-07,9.4750542072329403e-07,1,0
fp32,237,1,0,7.7326773206820576e-07,7.9803628693915365e-07,1,0
fp32,238,0,0,4.1461051658586712e-07,6.0517519610008463e-07,1,0
fp32,239,0,0,2.1852204001859832e-07,2.0199661803259917e-07,1,0
fp32,240,0,0,8.5668870841715261e-07,1.0634133121856237e-06,1,0
fp32,241,0,0,4.6130166886371171e-07,5.9886756729519276e-07,1,0
fp32,242,1,0,3.5173467072269204e-07,3.5394357840979106e-07,1,0
