channel,unit,finite,nonfinite,min,median,max
AB2N006AxI,-,48001,0,-1.0,-0.11406519081689018,0.27296618898312985
AB2N007AxI,-,48001,0,-1.0,-0.13076868113861784,0.24997118441339322
AB2N008AxI,-,48001,0,-1.0,-0.1413269767524866,0.24852910774749004
AB2N009AxI,-,48001,0,-1.0,-0.14297125711135325,0.29175640772347045
AB2N010AxI,-,48001,0,-1.0,-0.14517650781519725,0.32050041292428516
AB2N011AxI,-,48001,0,-1.0,-0.1615855868599299,0.4857608831093845
AB2N012AxI,-,48001,0,-1.0,-0.17886555076883182,0.8412806277368537
AB2N013AxI,-,48001,0,-1.0,-0.21000083492977178,1.5
AB2N014AxI,-,48001,0,-0.6385984455646008,-0.21218269688173652,1.5
AB2N015AxI,-,48001,0,-0.33431790757356517,-0.20429979394709252,1.5
AB2N016AxI,-,48001,0,-0.22190870459529688,-0.19059789146234998,1.5
AB2N017AxI,-,48001,0,-0.1987794103120448,-0.18794221810391598,1.5
AB2N018AxI,-,48001,0,-0.2051229011388795,-0.19300975150801772,1.5
AB2N019AxI,-,48001,0,1.0,1.0,1.0
AB3N001AxI,-,48001,0,1.0,1.0,1.0
AB3N002AxI,-,48001,0,0.0,0.0,0.0
AB3N003AxI,-,48001,0,0.0,0.0,0.0
AB3N004AxI,-,48001,0,0.0,0.0,0.0
AB3N005AxI,-,48001,0,-1.0,-0.08367239304339728,0.28117534348773005
AB3N006AxI,-,48001,0,-1.0,-0.1142995865082729,0.2729661902858604
AB3N007AxI,-,48001,0,-1.0,-0.13005333165327088,0.24997118341890862
AB3N008AxI,-,48001,0,-1.0,-0.14157523239524736,0.2485291075413703
AB3N009AxI,-,48001,0,-1.0,-0.14341803588079902,0.29175632432305276
AB3N010AxI,-,48001,0,-1.0,-0.14472811431244315,0.3205004276103548
AB3N011AxI,-,48001,0,-1.0,-0.161426949062544,0.48576088270271517
AB3N012AxI,-,48001,0,-1.0,-0.17934615926990571,0.841280866448362
AB3N013AxI,-,48001,0,-1.0,-0.21125706131117108,1.5
