domain,n,method,timing_kind,speedup_median,ci95_low,ci95_high,significant_speedup
cstr,524288,adaptive_frozen_v1,e2e,3.6773485131980452,3.6527193758659786,3.727532014371864,True
cstr,524288,adaptive_frozen_v1,kernel,5.15594502329362,5.012615786907838,5.236620410558532,True
cstr,524288,adaptive_no_gradient_gate,e2e,3.6794208931717423,3.6075630826409237,3.7157327407146274,True
cstr,524288,adaptive_no_gradient_gate,kernel,5.1354685124592425,5.0420760354467085,5.1774135675320085,True
cstr,524288,fp32,e2e,11.734020751840138,11.724261387790435,11.744042979891034,True
cstr,524288,fp32,kernel,128.66126042620667,128.5387753838567,128.9069409271017,True
cstr,524288,fp64,e2e,2.0749905405064357,2.070250007367348,2.1216163133455375,True
cstr,524288,fp64,kernel,2.4743657426535175,2.465297890268221,2.5370494372621657,True
cstr,2097152,adaptive_frozen_v1,e2e,4.2481401575641,4.231772116958795,4.26093149624185,True
cstr,2097152,adaptive_frozen_v1,kernel,6.30079115034164,6.260729121517537,6.315969244027711,True
cstr,2097152,adaptive_no_gradient_gate,e2e,4.25648038779138,4.236263542794909,4.264878082103452,True
cstr,2097152,adaptive_no_gradient_gate,kernel,6.301063604280729,6.282629795486041,6.329226082731337,True
cstr,2097152,fp32,e2e,11.960900409560344,11.905673769068976,12.026343570758021,True
cstr,2097152,fp32,kernel,146.74540386967007,146.46695314335972,147.14063536266633,True
cstr,2097152,fp64,e2e,2.2233552851583456,2.221546873430536,2.2365943247551847,True
cstr,2097152,fp64,kernel,2.6794272068280023,2.6712953186188644,2.6890203876573975,True
cstr,8388608,adaptive_frozen_v1,e2e,4.2541518669373755,4.24961088328779,4.263975900334955,True
cstr,8388608,adaptive_frozen_v1,kernel,6.365064820874887,6.359197068294074,6.384795167714914,True
cstr,8388608,adaptive_no_gradient_gate,e2e,4.255602482805477,4.246687778069456,4.271630152518776,True
cstr,8388608,adaptive_no_gradient_gate,kernel,6.387355554938945,6.377910847267385,6.39675778657003,True
cstr,8388608,fp32,e2e,11.762327491277095,11.710994898891398,11.781354282025749,True
cstr,8388608,fp32,kernel,147.262503492999,146.84150265619266,147.522408087609,True
cstr,8388608,fp64,e2e,2.1936580821234593,2.1923362213857,2.1972077169941646,True
cstr,8388608,fp64,kernel,2.652571360057598,2.6456473272650425,2.656912913221335,True
