domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
pv,1,fp64,0.138345882297,0.145218878984,0.027540139854,0.00722825994818,0.00688615699965,1,7.44420283371
pv,8,adaptive_no_gradient_gate,0.149328351021,0.153093755245,0.028139911592,0.0535732159721,0.0522555605693,1,159.974506715
pv,8,fp32,0.014225567691,0.0215171203017,0.028139911592,0.562367715212,0.371796963898,0,159.709981441
pv,8,fp64,0.138919040561,0.147490888834,0.028139911592,0.0575874982127,0.0542406386133,1,159.974506715
pv,8,adaptive_frozen_v1,0.149329051375,0.152800962329,0.028139911592,0.0535729647133,0.0523556912081,1,159.974506715
pv,32,adaptive_frozen_v1,0.153376713395,0.162277430296,0.0342698767781,0.208636626067,0.197193164457,0.9375,1302.55520001
pv,32,adaptive_no_gradient_gate,0.153385579586,0.162853762507,0.0342698767781,0.208624566184,0.196495306632,0.9375,1302.55520001
pv,32,fp32,0.0143315512687,0.0221871994436,0.0342698767781,2.23283574821,1.44227305845,0,1302.16734481
pv,32,fp64,0.138930588961,0.148727357388,0.0342698767781,0.230330845348,0.21515880173,1,1302.5552024
pv,128,adaptive_frozen_v1,0.162814497948,0.173878073692,0.0390401110053,0.786170774799,0.736148021898,0.9453125,5992.42861303
pv,128,adaptive_no_gradient_gate,0.162830591202,0.173676788807,0.0390401110053,0.786093074129,0.73700118985,0.9453125,5992.42861303
pv,128,fp32,0.0145022720098,0.0222851205617,0.0390401110053,8.82620322616,5.74374276529,0,5991.18903899
pv,128,fp64,0.148568257689,0.159446075559,0.0390401110053,0.861556849294,0.802779244027,1,5992.42861454
pv,512,adaptive_frozen_v1,0.270856231451,0.28369218111,0.049039721489,1.89030171932,1.80477303955,0.9296875,25877.139605
pv,512,adaptive_no_gradient_gate,0.270856976509,0.282826542854,0.049039721489,1.89029651958,1.81029685132,0.9296875,25877.139605
pv,512,fp32,0.01860518381,0.0333136022091,0.049039721489,27.5192121308,15.3690974872,0,25864.1885079
pv,512,fp64,0.251330673695,0.261506229639,0.049039721489,2.03715683595,1.95788834823,1,25877.1396024
pv,2048,adaptive_frozen_v1,0.271160304546,0.284662395716,0.0750301405787,7.55272790915,7.19448733244,0.94091796875,106226.468108
pv,2048,adaptive_no_gradient_gate,0.271180808544,0.283907204866,0.0750301405787,7.55215684692,7.21362461007,0.94091796875,106226.468108
pv,2048,fp32,0.0184451192617,0.0361727997661,0.0750301405787,111.032082305,56.617127047,0,106169.529479
pv,2048,fp64,0.253246724606,0.267497599125,0.0750301405787,8.08697527358,7.65614348203,1,106226.468109
pv,8192,adaptive_frozen_v1,0.27661088109,0.314006388187,0.234360806644,29.6156100863,26.088641213,0.939575195312,424574.890022
pv,8192,adaptive_no_gradient_gate,0.27661088109,0.314035207033,0.234360806644,29.6156100863,26.0862470721,0.939575195312,424574.890022
pv,8192,fp32,0.0184448007494,0.0598784014583,0.234360806644,444.13599861,136.81059949,0,424308.485988
pv,8192,fp64,0.260573774576,0.296451210976,0.234360806644,31.4383134424,27.6335521553,1,424574.890011
pv,32768,adaptive_frozen_v1,0.27724480629,0.403807997704,0.812223181129,118.19157386,81.1474764897,0.936187744141,1687236.03364
pv,32768,adaptive_no_gradient_gate,0.277062386274,0.404000014067,0.812223181129,118.269392106,81.108908067,0.936187744141,1687236.03364
pv,32768,fp32,0.0185247994959,0.145408004522,0.812223181129,1768.87204675,225.352105667,0,1686153.47615
pv,32768,fp64,0.258371204138,0.381471991539,0.812223181129,126.825278805,85.8988358957,1,1687236.03361
pv,131072,adaptive_frozen_v1,1.00419199467,1.45011198521,2.6264982298,130.524840564,90.3875020255,0.93476,5136677.07004
pv,131072,adaptive_no_gradient_gate,1.00416004658,1.45337605476,2.6264982298,130.528993308,90.1845049465,0.93476,5136677.07004
pv,131072,fp32,0.0531839989126,0.503808021545,2.6264982298,2464.50065208,260.1625905,0,5133693.64184
pv,131072,fp64,0.96595197916,1.41302394867,2.6264982298,135.692045596,92.7599281834,1,5136677.06995
pv,524288,adaptive_frozen_v1,3.26236796379,5.06713581085,6.16715289652,160.707806667,103.468314166,0.93476,5136677.07004
pv,524288,adaptive_no_gradient_gate,3.27206397057,5.05638408661,6.16715289652,160.231586154,103.688325693,0.93476,5136677.07004
pv,524288,fp32,0.165951997042,1.9486399889,6.16715289652,3159.27502739,269.05328998,0,5133693.64184
pv,524288,fp64,3.08041596413,4.86528015137,6.16715289652,170.200390501,107.761112143,1,5136677.06995
pv,2097152,adaptive_frozen_v1,12.6132164001,19.7414722443,24.9490309507,166.266234834,106.230780261,0.93476,5136677.07004
pv,2097152,adaptive_no_gradient_gate,12.612288475,19.746591568,24.9490309507,166.278467556,106.203239824,0.93476,5136677.07004
pv,2097152,fp32,0.61948800087,7.75388813019,24.9490309507,3385.29882267,270.464567555,0,5133693.64184
pv,2097152,fp64,11.8774404526,18.9884166718,24.9490309507,176.565987291,110.44375296,1,5136677.06995
pv,8388608,adaptive_frozen_v1,49.7218894958,77.9664306641,98.5745098442,168.710563598,107.592561678,0.93476,5136677.07004
pv,8388608,adaptive_no_gradient_gate,49.7509422302,78.0786895752,98.5745098442,168.612042787,107.437868715,0.93476,5136677.07004
pv,8388608,fp32,2.42380809784,30.9432315826,98.5745098442,3460.92085734,271.096700989,0,5133693.64184
pv,8388608,fp64,46.5662727356,75.0761260986,98.5745098442,180.143428005,111.734694315,1,5136677.06995
pv,16777216,adaptive_frozen_v1,99.2163848877,156.068283081,197.934739292,169.09723146,107.499202713,0.93476,5136677.07004
pv,16777216,adaptive_no_gradient_gate,99.1793289185,155.958496094,197.934739292,169.160410571,107.574876779,0.93476,5136677.07004
pv,16777216,fp32,4.83920001984,61.771774292,197.934739292,3466.93997587,271.600034033,0,5133693.64184
