comparison,domain,n,ratio,ci95_low,ci95_high,bootstrap_design
serial_over_omp96,kepler,32768,75.02240910094292,74.67540545257829,75.5419629722705,independent_sequential_modes
serial_over_omp96,kepler,131072,78.11242656396908,77.08283001322684,78.36719645654689,independent_sequential_modes
serial_over_omp96,kepler,524288,75.88311595599126,75.66655968873518,76.46829799450889,independent_sequential_modes
serial_over_omp96,kepler,2097152,76.16147941829769,74.20619316913373,76.65871656988642,independent_sequential_modes
serial_over_omp96,kepler,8388608,75.32864609335665,75.30043460782447,75.34652160765735,independent_sequential_modes
serial_over_omp96,kepler,16777216,75.54891281938961,75.50269191790807,75.60017233297111,independent_sequential_modes
serial_over_omp96,peng_robinson,1,0.004726133028203447,0.0046837240588997195,0.005238606031895537,independent_sequential_modes
serial_over_omp96,peng_robinson,8,0.024926286577970726,0.024803372864218243,0.025121110722654015,independent_sequential_modes
serial_over_omp96,peng_robinson,32,0.09467338179453018,0.093648768037346,0.0954190838163962,independent_sequential_modes
serial_over_omp96,peng_robinson,128,0.3749907637742565,0.373046443730318,0.37619212333865787,independent_sequential_modes
serial_over_omp96,peng_robinson,512,1.4596045061152827,1.4554746637096605,1.4691514207864076,independent_sequential_modes
serial_over_omp96,peng_robinson,2048,5.3335834069093835,5.317867828247166,5.369824062578479,independent_sequential_modes
serial_over_omp96,peng_robinson,8192,15.624690683550716,15.486248078889966,15.819807583472125,independent_sequential_modes
serial_over_omp96,peng_robinson,32768,29.25519555491328,27.825608625433315,29.733577150576217,independent_sequential_modes
serial_over_omp96,peng_robinson,131072,37.25499934912673,37.14321872492091,37.34993716336029,independent_sequential_modes
serial_over_omp96,peng_robinson,524288,41.12595365774488,41.01582893517419,41.33327808059268,independent_sequential_modes
serial_over_omp96,peng_robinson,2097152,47.242347860549444,47.15349852607165,47.30852090843797,independent_sequential_modes
serial_over_omp96,peng_robinson,8388608,57.46808397797801,57.27944605941771,57.86081571590078,independent_sequential_modes
serial_over_omp96,peng_robinson,16777216,65.15318008536669,64.93560865581797,65.50387097091375,independent_sequential_modes
serial_over_omp96,pv,1,0.03893920766740184,0.03832778764600762,0.03921766816601763,independent_sequential_modes
serial_over_omp96,pv,8,0.3175594643216811,0.31458838671380973,0.3220737816914052,independent_sequential_modes
serial_over_omp96,pv,32,1.2260398732460664,1.2203154104076128,1.230886773546284,independent_sequential_modes
serial_over_omp96,pv,128,4.673300761608425,4.648937184259957,4.682985361178938,independent_sequential_modes
serial_over_omp96,pv,512,16.355609978832234,16.293672456575692,16.56323175286855,independent_sequential_modes
serial_over_omp96,pv,2048,44.34060359447776,43.991873200272835,44.48885687864449,independent_sequential_modes
serial_over_omp96,pv,8192,71.20243269045693,69.18220453181495,72.33913434409614,independent_sequential_modes
serial_over_omp96,pv,32768,69.50800124857307,68.42884698754439,70.4385151726865,independent_sequential_modes
serial_over_omp96,pv,131072,72.30938997413142,71.11711005821029,72.53816117372484,independent_sequential_modes
serial_over_omp96,pv,524288,71.96063095771467,71.11529028548097,72.36495134967454,independent_sequential_modes
serial_over_omp96,pv,2097152,72.1234185741237,71.80582720748737,72.3312600893553,independent_sequential_modes
serial_over_omp96,pv,8388608,70.20410141914962,70.14110834678542,70.2370875720289,independent_sequential_modes
serial_over_omp96,pv,16777216,70.60997171081615,70.55046318849435,70.65697120148751,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,1,1.0174228489682093,1.0071874841254327,1.0244045793705656,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,8,0.9972619724114337,0.9932763151137516,1.0021709914200072,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,32,1.0073629532505455,1.0018566840622547,1.0140172753472858,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,128,1.0076283916995161,1.0009583469690235,1.0150259432276434,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,512,0.998814177985443,0.9933681597583771,1.004631173355997,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,2048,1.0664908971934277,1.0591576229849993,1.0735345260626814,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,8192,1.1201420823198838,1.1080913047341958,1.1391073211900786,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,32768,1.152811368147335,1.1403757365082667,1.1713159365667896,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,131072,1.179125129130371,1.172784430667239,1.18331174544506,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,524288,1.177023661083495,1.1739240163169427,1.18693719697113,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,2097152,1.214719804491969,1.2032564868535338,1.2297278372199338,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,8388608,1.1867181174926589,1.1861446872326695,1.1874296800000925,independent_sequential_modes
strict_omp96_over_pgo_omp96,bem,16777216,0.9449494143213821,0.9446791131506266,0.9453529856803355,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,1,1.0002512310303688,0.9901024569762016,1.0137463991529672,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,8,1.0007680491580406,0.9964707687576659,1.0070030895966684,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,32,1.0022994758203418,0.992245018160014,1.0144178722563109,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,128,1.0057495797860934,0.9956801458455155,1.015177043217489,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,512,0.3578815930206425,0.30738655484966154,0.5610224170739635,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,2048,0.8822137323574626,0.847465240205399,0.9407138503364265,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,8192,0.8983073823195109,0.8655651376575371,0.9382281696531735,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,32768,0.9557557256563677,0.9136703741285178,1.01104444302161,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,131072,1.006753128954891,0.9924612385629121,1.0177553396954315,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,524288,1.0045804543862769,1.002341805335217,1.0086806742873196,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,2097152,1.006050736724487,0.9970333195313629,1.0092456820816105,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,8388608,1.0039672470643872,1.0037154627950318,1.0043087828875834,independent_sequential_modes
strict_omp96_over_pgo_omp96,cstr,16777216,1.0031011453084104,1.0025394367810256,1.004096093920531,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,1,1.0045099827676465,0.995488683906413,1.0108756416087732,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,8,0.9968117124943419,0.9909271624456675,1.0029674349620552,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,32,1.0062875751524616,0.9940318466619578,1.0145175064026006,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,128,1.002980945793209,0.9957741797640534,1.009817067332557,independent_sequential_modes
