cpu_mode,domain,n,cpu_over_gpu_e2e,ci95_low,ci95_high,bootstrap_design
strict_omp96,peng_robinson,8,1.403867935317008,1.3927594768098546,1.4996504946393228,independent
strict_omp96,peng_robinson,32,0.9682440187751855,0.9578311163615474,1.3636537863743399,independent
strict_omp96,peng_robinson,128,0.9497826750346164,0.9453622960250829,0.9566865064059388,independent
strict_omp96,peng_robinson,512,0.5972650678685714,0.5891599789222643,0.8154375220900582,independent
strict_omp96,peng_robinson,2048,0.6269222320896518,0.5993208291809228,0.6886151907235734,independent
strict_omp96,peng_robinson,8192,0.506075949776752,0.5009238550447975,0.5109403928825211,independent
strict_omp96,peng_robinson,32768,0.47967545410708523,0.46565702947735343,0.504143238443519,independent
strict_omp96,peng_robinson,131072,0.3983348704248901,0.3942828185910064,0.4014269950405182,independent
strict_omp96,peng_robinson,524288,0.38107119446353277,0.3718765644698255,0.382687522255455,independent
strict_omp96,peng_robinson,2097152,0.3369218835600206,0.3352188916884944,0.33864709756362266,independent
strict_omp96,peng_robinson,8388608,0.2782136419460172,0.27613489756339554,0.2794722872467575,independent
strict_omp96,peng_robinson,16777216,0.24548800493008927,0.2441798617198633,0.2463216304636754,independent
strict_omp96,pv,1,0.13729247941704437,0.13618998251359657,0.13839924183632016,independent
strict_omp96,pv,8,0.13746828251726656,0.13559983494366384,0.1387937660332226,independent
strict_omp96,pv,32,0.12981670833979841,0.12930955769206628,0.13045305791134248,independent
strict_omp96,pv,128,0.12486553242415852,0.12461357889349382,0.1255173385891923,independent
strict_omp96,pv,512,0.08905059211255448,0.08884289668180231,0.08938228943569156,independent
strict_omp96,pv,2048,0.13513849461717078,0.1347428623476327,0.13602785604210013,independent
strict_omp96,pv,8192,0.29867302675479046,0.294018002577115,0.3075962361877942,independent
strict_omp96,pv,32768,0.9607260691805055,0.947330159510284,0.9769452510127269,independent
strict_omp96,pv,131072,0.991681370387495,0.9884952895250092,1.0084516426227308,independent
