index,near_knot,multi_root,root_abs,gradient_left_rel,gradient_right_rel,residual,knot_distance_rad,status
81,1,0,2.3824497930036159e-11,5.6779152802682088e-08,3.4871114166117374e-08,4.6181351198720669e-11,0,0
82,0,0,2.7173818750725331e-12,4.1802373042496301e-08,6.0744553337763188e-08,3.5393670039547129e-12,0,0
83,1,0,1.9095836023552692e-14,7.4669085474690862e-07,7.4183472243622546e-07,1.6559296987027273e-13,0,0
84,1,0,5.3290705182007514e-15,4.5122671972793898e-08,5.0975234662639804e-08,1.5293553618838429e-14,0,0
85,0,0,2.3638868640318833e-12,2.7726307007961999e-07,2.8794655058392224e-07,6.6903116895681407e-12,0,0
86,1,0,3.9968028886505635e-15,9.3638164614323702e-08,1.0145947503317134e-07,1.0491457378346231e-14,0,0
87,1,0,1.9269030815394217e-12,1.7640015487675784e-07,1.8628592344464769e-07,4.6669620804230899e-12,0,0
88,0,0,4.2714720649428273e-11,4.7476757467736838e-07,4.9319152061479128e-07,1.4861778715551254e-10,0,0
89,0,0,3.2534552829588392e-10,1.0763913908615665e-10,6.5817681405967137e-11,3.2537472369198461e-10,0,0
90,0,0,2.078337502098293e-13,2.1523542661743142e-07,2.2676747271513205e-07,4.21729319292008e-13,0,0
91,0,1,8.6430862467068437e-11,2.0426676056376003e-06,2.1379301399979561e-06,8.2315612790044775e-12,0,0
92,1,0,0,3.3801834831801661e-08,2.8436924926776279e-08,6.1152660630461759e-17,0,0
93,0,1,4.716227408607665e-13,1.6376953946988348e-06,1.4386495887593506e-06,5.7098943482849314e-14,0,0
94,1,0,4.1744385725905886e-14,1.4192822409941665e-08,3.8993635719403847e-08,3.7271283889251967e-14,0,0
95,0,1,3.3693696721570632e-09,1.7046624839391973e-06,5.0494665819104127e-07,4.7636212545602659e-10,0,0
96,1,0,2.7797630863801714e-10,1.9045736690053773e-08,2.1497356877588431e-08,3.998688772440347e-10,0,0
97,0,0,6.4739325011942128e-12,2.0016187026244084e-08,1.4845738582258682e-08,9.7967121088869181e-12,0,0
98,0,0,0,1.1552864549142268e-07,1.1013608834535345e-07,3.6110190404797854e-16,0,0
99,1,0,1.7266188478970435e-12,1.3514225784616067e-07,1.3030599946784467e-07,3.1164442730644887e-12,0,0
100,0,0,4.6190073987872893e-10,5.6933653531448868e-10,3.3221015952511627e-09,4.6572501410935274e-10,0,0
101,0,1,3.2107649872159527e-11,5.7846286324602698e-07,3.3134599632145726e-07,3.0152596623412129e-12,0,0
102,0,1,3.0577318455016211e-11,1.6803854338896216e-07,1.5468617104895043e-07,1.4406473616600715e-11,0,0
103,0,1,9.4515506532388827e-12,1.2902645547582387e-07,1.1397511914671117e-07,4.8849789791676375e-12,0,0
104,0,0,3.5778580098622115e-10,1.8101955069969955e-09,9.1053379869508363e-10,3.6499578359716622e-10,0,0
105,0,1,2.3352431099965543e-11,1.2885926548185835e-06,1.1061727605000768e-06,1.5708537078009081e-12,0,0
106,0,1,2.0829205027439457e-10,2.5256316793731801e-06,2.4544315000489683e-06,1.7564143489115356e-11,0,0
