domain,n,method,timing_kind,speedup_vs_brent,ci95_low,ci95_high,faster_than_brent
cstr,128,safeguarded_halley,kernel,1.1911666550553417,1.190793875233228,1.1914722474042339,True
cstr,128,safeguarded_newton,e2e,1.1887763865030065,1.1821835495604198,1.2063419885454432,True
cstr,128,safeguarded_newton,kernel,1.2092560507342127,1.2087583575368144,1.2095987350783275,True
cstr,512,bracketed_secant,e2e,1.2018926879952867,1.2000263630959724,1.2044734613033241,True
cstr,512,bracketed_secant,kernel,1.2086019145622948,1.2083877642057397,1.2089067501119033,True
cstr,512,safeguarded_halley,e2e,1.1968424992072613,1.1946402806843928,1.1997238392235112,True
cstr,512,safeguarded_halley,kernel,1.1999516034263087,1.1997221813103998,1.2002409824880091,True
cstr,512,safeguarded_newton,e2e,1.203332050656689,1.200903662273657,1.2060609688844024,True
cstr,512,safeguarded_newton,kernel,1.217984327789143,1.2177615447468064,1.2182783042149632,True
cstr,2048,bracketed_secant,e2e,1.2053799344503604,1.20317595964222,1.2066241892273124,True
cstr,2048,bracketed_secant,kernel,1.2075987907231145,1.2066713831240279,1.2103935778681825,True
cstr,2048,safeguarded_halley,e2e,1.1903435097777288,1.1886523563257925,1.1913749013972679,True
cstr,2048,safeguarded_halley,kernel,1.1970374591378954,1.1962538107624614,1.1999348121687707,True
cstr,2048,safeguarded_newton,e2e,1.2098123221422004,1.2082968009786674,1.211074156970006,True
cstr,2048,safeguarded_newton,kernel,1.2141010008134139,1.2138569431101767,1.2181800026499008,True
cstr,8192,bracketed_secant,e2e,1.1962141321382997,1.1948152038726139,1.1976531171655629,True
cstr,8192,bracketed_secant,kernel,1.208464626945597,1.2077768044498727,1.212459001822242,True
cstr,8192,safeguarded_halley,e2e,1.187293182989396,1.1858791220661689,1.1886785944515084,True
cstr,8192,safeguarded_halley,kernel,1.1990758189965744,1.1983662559867114,1.2030901926366064,True
cstr,8192,safeguarded_newton,e2e,1.2039389597082482,1.203010933617796,1.20533289243223,True
cstr,8192,safeguarded_newton,kernel,1.216435424156656,1.21572013754991,1.2206330651616397,True
cstr,32768,bracketed_secant,e2e,1.1803282482082722,1.17374162311624,1.183618838958952,True
cstr,32768,bracketed_secant,kernel,1.2092834087706326,1.2084410224779087,1.210994103375007,True
cstr,32768,safeguarded_halley,e2e,1.1756143717088297,1.1677308140226792,1.1791149501314397,True
cstr,32768,safeguarded_halley,kernel,1.2001775082457162,1.1993347418205245,1.2018493567026762,True
cstr,32768,safeguarded_newton,e2e,1.1839340350167842,1.176811306330432,1.1874078680679634,True
cstr,32768,safeguarded_newton,kernel,1.217289238584061,1.2164421735281694,1.2189960255579835,True
cstr,131072,bracketed_secant,e2e,1.169797116262127,1.1680953637769678,1.1725293890688626,True
cstr,131072,bracketed_secant,kernel,1.2041545146014392,1.2031808054821216,1.2052274161263028,True
cstr,131072,safeguarded_halley,e2e,1.1648226445571281,1.1632787576134094,1.1672922229820155,True
cstr,131072,safeguarded_halley,kernel,1.1953488331012703,1.1943388876437575,1.196347837727297,True
cstr,131072,safeguarded_newton,e2e,1.1786286190392052,1.1769812472021413,1.1815981389205132,True
cstr,131072,safeguarded_newton,kernel,1.2129124167834964,1.2116386060882884,1.2139754956969755,True
cstr,524288,bracketed_secant,e2e,1.1667848578546307,1.1662404623051912,1.1676353760596623,True
cstr,524288,bracketed_secant,kernel,1.2020179810432792,1.2016928860677192,1.2025816742279665,True
cstr,524288,safeguarded_halley,e2e,1.232141239796868,1.2314294362078795,1.2331172243673885,True
cstr,524288,safeguarded_halley,kernel,1.2846429924753093,1.2842786959574326,1.28498647178875,True
cstr,524288,safeguarded_newton,e2e,1.2464883687550228,1.2454562763820618,1.2474570948605042,True
cstr,524288,safeguarded_newton,kernel,1.3028871205413666,1.302389995430779,1.3033243212992514,True
cstr,2097152,bracketed_secant,e2e,1.1603611530217937,1.1551419955034223,1.1633518798168807,True
cstr,2097152,bracketed_secant,kernel,1.1926176660124757,1.1823812944490049,1.2013116209160444,True
cstr,2097152,safeguarded_halley,e2e,1.1716154621744528,1.1645775199999218,1.1737505879238177,True
cstr,2097152,safeguarded_halley,kernel,1.2067749761512203,1.1964781818426076,1.2155725415530128,True
cstr,2097152,safeguarded_newton,e2e,1.1766652616646112,1.1679123611349804,1.1856814614109916,True
cstr,2097152,safeguarded_newton,kernel,1.2115636113482804,1.2011920169611356,1.232884026965441,True
cstr,8388608,bracketed_secant,e2e,1.1598738793165035,1.1591154220399378,1.1624525113858621,True
