index,branch,root_count,root_abs,gradient_rel,condition_rel,regularized_rel,residual,status
133,0,1,0,2.7079416915761997e-14,2.207902578074481e-16,2.686949922693136e-14,0,0
134,0,1,0,0,0,0,0,0
135,0,1,6.6174449004242214e-24,2.2204394204206135e-16,2.220442688076609e-16,2.2204394426250751e-16,0,0
136,0,1,0,7.5494609093052979e-11,2.2204376814912114e-16,7.5494609848004762e-11,0,0
137,3,3,5.5511151231257827e-16,9.642551366494197e-14,9.0104674851050452e-14,9.6291413003066577e-14,0,0
138,1,3,1.5265566588595902e-16,2.7786925028151084e-13,2.7482661496915949e-13,2.7789092428023757e-13,6.9388939039072284e-18,0
139,2,3,8.3266726846886741e-16,1.5746259359414417e-12,1.5889335571001179e-12,1.5742079513686518e-12,0,0
140,2,3,1.2101430968414206e-14,5.7165560368028145e-12,5.7576554847574687e-12,5.7153753337437231e-12,1.1102230246251565e-16,0
141,3,3,7.1054273576010019e-15,1.7745871200172722e-12,1.7411718710797994e-12,1.7746148171548353e-12,4.4408920985006262e-16,0
142,1,3,8.8470897274817162e-16,5.5112961504098074e-12,5.4492349643668879e-12,5.5103066433131623e-12,0,0
143,0,1,1.2705494208814505e-21,4.4404548809575644e-16,2.2203310595271083e-16,2.220227462683356e-16,0,0
144,0,1,1.1102230246251565e-16,2.7272306464913991e-11,1.110180513536092e-15,2.7272488165989088e-11,0,0
145,0,1,1.1102230246251565e-16,3.3209034832255154e-14,4.3955392428094958e-16,3.3209035171233822e-14,0,0
146,0,1,5.4210108624275222e-20,0,0,2.1845754864615477e-16,5.4210108624275222e-20,0
147,0,1,1.3234889800848443e-23,4.4408680685481987e-16,0,4.4408681129571224e-16,0,0
148,0,1,1.1102230246251565e-16,6.6920396761122637e-11,0,6.6920397430328089e-11,1.1102230246251565e-16,0
149,3,3,1.1102230246251565e-15,2.7193563848828909e-13,2.5774864397867582e-13,2.7179589618361824e-13,0,0
150,1,3,2.3016311079260277e-14,9.9638477828879205e-10,9.9599616790728348e-10,8.6727212092049959e-10,0,0
151,2,3,3.0878077872387166e-15,9.5544935892074398e-12,9.6100502600068041e-12,9.547079943534916e-12,6.9388939039072284e-18,0
152,2,3,4.2643666375852263e-13,6.5868525543719571e-09,6.588268889568846e-09,5.2439109322775894e-09,1.1102230246251565e-16,0
153,3,3,2.468025783741723e-13,1.8192666625882426e-09,1.818098182552373e-09,1.771710981671078e-09,0,0
154,1,3,9.6624097611908155e-16,6.7877563928898258e-12,6.7247566527726155e-12,6.7858384494188289e-12,0,0
155,0,1,3.3881317890172014e-21,1.1100829683894315e-15,0,1.1100829794917365e-15,4.2351647362715017e-22,0
156,0,1,1.1102230246251565e-16,2.022993169171779e-11,6.6610925737746064e-16,2.0230119251586029e-11,1.1102230246251565e-16,0
157,0,1,0,9.2795583726899693e-14,6.6060404969329284e-16,9.2795584670455956e-14,1.1102230246251565e-16,0
158,0,1,2.7105054312137611e-19,6.5742804338394386e-16,0,8.7657073339905327e-16,5.4210108624275222e-20,0
159,0,1,1.9852334701272664e-23,0,2.2204367887772675e-16,0,0,0
160,0,1,0,1.8859784717587569e-10,2.2204436956291101e-16,1.8859803474266182e-10,0,0
161,3,3,6.6613381477509392e-16,1.4538636095135863e-13,1.3680025855848209e-13,1.4538677523421248e-13,0,0
162,1,3,6.2450045135165055e-17,2.4082048858403015e-14,2.2706755120329793e-14,2.4223806649599622e-14,0,0
163,2,3,5.1555981706030707e-15,1.0774916004088601e-10,1.078466895280462e-10,1.0438609074236437e-10,0,0
164,2,3,1.0536016503692736e-13,7.1123381905441189e-10,7.1161812042068997e-10,6.8394321915900029e-10,2.2204460492503131e-16,0
165,3,3,2.9976021664879227e-15,6.9083947255969959e-12,6.8953404128162332e-12,6.8879491781362451e-12,0,0
166,1,3,2.4112656316077619e-15,1.0527502312935244e-10,1.0511685825349988e-10,1.0419011603794308e-10,1.7347234759768071e-18,0
167,0,1,8.4703294725430034e-22,0,0,2.2201622157420097e-16,4.2351647362715017e-22,0
