sample_id,fold_side,relative_fold_offset,fold_x,fold_Da,root_spacing_min,Fx,condition,raw_gradient,regularized_gradient_lambda_1e-4,regularization_relative_bias,root_count,selected_branch
cstrfold_0001647,upper,1.038727778854103764785455e-8,0.920479724544620316433641524373,0.00000308852126194431368761638942834,+inf,0.999938863581495891792074702315,1.00006114015639429693629028305,1.0001161042654063170759665324,1.00011609426302239197190173999,0.000000010001222740484615872763203939,1,single
cstrfold_0001648,upper,-2.17249497427286442841324e-8,0.798746386028207179851146692253,0.000341204434844959198276931050519,+inf,0.992419346838133132233099757397,1.00763855842393537829048100209,1.01461394368392880297273137324,1.01461393338219371036954944373,0.0000000101533545411360568223896127389,1,single
cstrfold_0001649,upper,-0.00005511157299585527034768643,0.835334764017249499311154004498,0.0000000258038760357303883907590083754,+inf,0.999998145111131038300940735988,1.00000185489230958079722334272,1.00000365818131715186783674752,1.00000364818124357203946336421,0.0000000100000369978798569117687959408,1,single
cstrfold_0001650,lower,0.0001279351810479917188458528,0.0528526169666866426943567056268,0.019156132297297505518768264206,+inf,0.999953607312427643468152935477,1.00004639483995367147201185788,0.000181707915147764282360345338086,0.000181707913330516538952805623421,0.0000000100009278183053269454764163794,1,single
cstrfold_0001651,lower,0.007153044808591746854883889,0.050790959572238372739535902412,0.0175269249688205753461983377773,+inf,0.99383404809199009025162509221,1.00620420674844819183498673731,0.0709867212270696122672919963677,0.0709867205083667570378481196453,0.0000000101244689542778660936071690813,1,single
cstrfold_0001652,lower,-1.026399624991134749556967e-8,0.0153031021232540519407214664823,0.00539891945848648854296404404369,+inf,0.999996719776317908891484355262,1.00000328023444199380795464618,0.000114741339769465273577142722353,0.000114741338622044359774535657633,0.0000000100000655047951281558904143399,1,single
cstrfold_0001653,upper,-0.002820802322361264489421661,0.924711815876314137863562286239,0.00000116415218694896070368095614437,+inf,0.99997528145186295106924238604,1.00002471915915877450429915159,1.00004711675445754879566708866,1.00004710675349206867812803654,0.0000000100004942892836567551109024653,1,single
cstrfold_0001654,upper,7.294564808206304021429871e-8,0.795346744163420373891643003952,0.000366488471969988693876108636259,0.000140410284858168672370873016926,0.000338222083620366641789087645564,2956.63721687208962869650155323,1312810.95032984545505559251786,1207274.58415612490621410478041,0.080389614473587685929724733501,3,high_triple
cstrfold_0001655,upper,0.001503396632475249157491984,0.837989906457598063897254711487,0.0000000165025150321841405569617450032,0.0157061958339791771652036409873,0.999998777126036451055739486335,1.00000122287545897150369973076,1.00000241269696802703856873067,1.00000240269691954248647561395,0.0000000100000243575236455228820255828,3,low_triple
cstrfold_0001656,lower,-0.000165443142463101196765956,0.0526457201746530218087584611474,0.0190979785892373324299205416917,0.00194259750897988747751252068645,-0.0170729719359643667479916729902,58.572110570479597300769410331,-155.665312089228180657377551256,-155.659971874813112385083721003,0.0000343057444423278651260750784639,3,middle_triple
cstrfold_0001657,lower,-0.0000008998441629072953460701957,0.0500900873378703650187567915352,0.0172569046373451468254625395491,0.000143584901867494947768608440816,0.993456576584172791286944354764,1.00658652181691285304693308267,0.0792926231248863932850748404638,0.0792926223214805193942325624837,0.0000000101321641563739522189627287109,3,high_triple
cstrfold_0001658,lower,6.894519414123467142661984e-8,0.0143753308076501036051756280243,0.00507552784884001600071745357489,+inf,0.99999797317826632682934630026,1.00000202682584168783695702476,0.0000758625905960534214068363721469,0.0000758625898374244478243254441313,0.0000000100000404365571042538751353382,1,single
cstrfold_0001659,upper,1.463065583338971871249387e-8,0.923659783535811855709582155947,0.00000121832861630439513044525873539,+inf,0.999973862127254740364358705832,1.00002613855595150884102827244,1.00004984064939349069925594392,1.00004983064837238021389662602,0.0000000100005226779408164169567682512,1,single
cstrfold_0001660,upper,-0.00006344422988191386090679699,0.797964072625110779063006541262,0.000248357483736005590385952705452,+inf,0.994086787529771575649803103311,1.00594838654371646752242582347,1.01141228197756150039825937794,1.01141227174275548895965378467,0.0000000101193214614983961445050772423,1,single
cstrfold_0001661,upper,-0.0004521331573703140748507989,0.818897106991874016149626049176,0.0000000528780331485484296013399914739,+inf,0.999996100792159687522149835335,1.00000389922304419354289671444,1.00000769274499857030627711459,1.00000768274484375764578038096,0.000000010000077884611364576024954113,1,single
cstrfold_0001662,lower,0.002487953656123070816051111,0.0513031281214014256548969266448,0.0186022691161404850539928496379,+inf,0.999968512994263677888311290233,1.00003148799719907054411751822,0.000123575288848525894086499989364,0.000123575287612695193968102069885,0.0000000100006296698463262933695305887,1,single
cstrfold_0001663,lower,0.00004867740865609700048131399,0.0518727439970387558100178755692,0.0178535810193203361915690147591,+inf,0.9923100803044070562957354853,1.0077495128269118633934447495,0.090717222952403095912350466856,0.0907172220311161099046760336588,0.0000000101555907028927584107838515462,1,single
cstrfold_0001664,lower,-1.333567824060159245543685e-8,0.0141604813198380827025620070952,0.00500268024866563270243269759467,0.00000481653971130910141235803897327,0.000154598244253777726669008333211,6468.37876346428321769258276743,18046.9635253805377217165309591,12723.4723753174445112759470937,0.294979880830165430205647789583,3,low_triple
