domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
bem,2048,adaptive_frozen_v3,0.419646710157,0.433487981558,nan,4.88029561636,4.72446777565,0.4775390625,5635.52929862
bem,2048,adaptive_no_gradient_gate_v3,0.419709444046,0.433804810047,nan,4.87956615952,4.7210172699,0.4775390625,5635.52929862
bem,8192,fp32,0.0208793599159,0.0621760003269,nan,392.349192361,131.755017321,0,23664.4061772
bem,8192,fp64,0.405753582716,0.447836786509,nan,20.1895937558,18.2923784887,1,23613.1492477
bem,8192,adaptive_frozen_v3,0.426003545523,0.466998398304,nan,19.2298869014,17.5418160528,0.487426757812,23613.1491276
bem,8192,adaptive_no_gradient_gate_v3,0.425977289677,0.466025590897,nan,19.2310721687,17.5784338028,0.487426757812,23613.1491276
bem,32768,fp32,0.020579200238,0.147039994597,nan,1592.2873397,222.850933106,0,95396.9473588
bem,32768,fp64,0.408070415258,0.531935989857,nan,80.2998668238,61.6013968313,1,95193.2216366
bem,32768,adaptive_frozen_v3,0.428460776806,0.551136016846,nan,76.4784124332,59.4553776172,0.493194580078,95193.2211542
bem,32768,adaptive_no_gradient_gate_v3,0.428614377975,0.553183972836,nan,76.4510051081,59.2352664016,0.493194580078,95193.2211542
bem,131072,fp32,0.0604479983449,0.522176027298,nan,2168.34309802,251.011140205,0,293990.876563
bem,131072,fp64,1.61507201195,2.07619190216,nan,81.1555144479,63.1309658147,1,293373.189708
bem,131072,adaptive_frozen_v3,1.65081596375,2.11049604416,nan,79.3983114282,62.1048309296,0.49603,293373.188241
bem,131072,adaptive_no_gradient_gate_v3,1.65139198303,2.10995197296,nan,79.3706166354,62.1208452513,0.49603,293373.188241
bem,524288,fp32,0.18902400136,2.02326393127,nan,2773.65835147,259.129810944,0,293990.876563
bem,524288,fp64,5.24211215973,7.09750413895,nan,100.014647536,73.8693475532,1,293373.189708
bem,524288,adaptive_frozen_v3,5.37372779846,7.21052789688,nan,97.5650460282,72.7114585087,0.49603,293373.188241
